gene	angle_pred
228	-1.362677330996
229	-1.35839888401256
230	-1.3533186107708
231	-1.34874636485356
232	-1.34347634646743
233	-1.33725148154498
234	-1.33296079294097
235	-1.32519348361431
236	-1.32205962831493
237	-1.31893189382682
238	-1.31580415933887
239	-1.31267642485106
240	-1.30587620368531
241	-1.3026505362199
242	-1.293848809816
243	-1.28439827743368
244	-1.28082372373501
245	-1.27385211986091
246	-1.26735181844427
247	-1.26193490059753
248	-1.24111802196105
249	-1.22363086458137
250	-1.21702650938028
251	-1.20516437742656
252	-1.2043074638696
253	-1.18884629497943
254	-1.16962082725468
255	-1.16183515551273
256	-1.15998667055524
257	-1.15365163104897
258	-1.15161340094706
259	-1.14677796016497
260	-1.14113457231588
261	-1.13295104785432
262	-1.1178693692677
263	-1.10131869601684
264	-1.10002108406093
265	-1.09680153741568
266	-1.08787127400302
267	-1.07635802830245
268	-1.07447281848029
269	-1.06871925603629
270	-1.06213938409284
271	-1.0522175492842
272	-1.03913125513367
273	-1.03172507369295
274	-1.01639244186932
275	-1.01491732639262
276	-1.01192424976154
277	-1.01044913428491
278	-1.00922497206366
279	-1.00470781346739
280	-0.999554090516365
281	-0.986522883673578
282	-0.983223766488217
283	-0.970884211302455
284	-0.956983849287111
285	-0.94573379848094
286	-0.928026291964413
287	-0.921893239241496
288	-0.916317180329073
289	-0.915001205942541
290	-0.906591211491351
291	-0.905097733583062
292	-0.903157436464539
293	-0.899760386304437
294	-0.875760685987343
295	-0.867968893460176
296	-0.863825104347375
297	-0.857520668917572
298	-0.852128234341499
299	-0.840082478104421
300	-0.83650180361347
301	-0.833490364554503
302	-0.819877680679206
303	-0.808046152833878
304	-0.803271920180648
305	-0.799905474079129
306	-0.796765497988164
307	-0.793227669176221
308	-0.785233889888723
309	-0.776107760549666
310	-0.743949019074568
311	-0.738660638292238
312	-0.673877973725688
313	-0.668081565625819
314	-0.658600429251765
315	-0.648843856379419
316	-0.64456540942995
317	-0.625645982362977
318	-0.605471789025845
319	-0.600201770681815
320	-0.594356396096007
321	-0.589270002084855
322	-0.583345056955328
323	-0.578436166465935
324	-0.570326091779894
325	-0.568232774389293
326	-0.562944393613145
327	-0.562216017094221
328	-0.545138954172352
329	-0.535976099981579
330	-0.518427734608733
331	-0.512264077849259
332	-0.512031487028151
333	-0.507679590349035
334	-0.50039582516197
335	-0.490884084741589
336	-0.485387596390747
337	-0.476598111678549
338	-0.470299797076493
339	-0.466039712564412
340	-0.458853880355992
341	-0.44992973780103
342	-0.449017736950096
343	-0.446661224684274
344	-0.437871739973507
345	-0.431047035619603
346	-0.42382447854571
347	-0.396176774901044
348	-0.382129513475325
349	-0.373003384157257
350	-0.362812233711829
351	-0.357976792960053
352	-0.355907958815642
353	-0.354445084967975
354	-0.350815443998683
355	-0.339877554602407
356	-0.337894411813188
357	-0.332991642139889
358	-0.292845242282931
359	-0.284649476250667
360	-0.280701553105971
361	-0.277377952691157
362	-0.271703960822821
363	-0.266684895739767
364	-0.262883872061043
365	-0.258489129707895
366	-0.256958926938701
367	-0.250073014477372
368	-0.237806909079765
369	-0.232053346667786
370	-0.228705263008919
371	-0.222627297609952
372	-0.219120072863136
373	-0.213843933715245
374	-0.208696331599989
375	-0.205929724993464
376	-0.201975681038134
377	-0.19280058523472
378	-0.185975880884658
379	-0.180075419007142
380	-0.176574315071531
381	-0.155175959549116
382	-0.145835601846876
383	-0.138551836666242
384	-0.136831888753841
385	-0.13378984564899
386	-0.130233654413742
387	-0.122276600014734
388	-0.117404434398107
389	-0.103191911079223
390	-0.0967038513384521
391	-0.089677160222955
392	-0.0848968067724143
393	-0.0826810731628121
394	-0.0773559675264629
395	-0.0764684499204027
396	-0.0631740482626592
397	-0.0518872726378244
398	-0.0196918063753191
399	-0.0190552420233469
400	-0.013601599354026
401	-0.00147015179988334
402	-0.000503063649744947
403	0.00243492566714111
404	0.00583809662588669
405	0.0120874447354343
406	0.0300887501131036
407	0.038590556699385
408	0.0485674787554809
409	0.0600562411479691
410	0.0639184729379509
411	0.0724447627692146
412	0.0749665369332708
413	0.0795326619973579
414	0.0832357526995068
415	0.0874223874768578
