Cell Barcode	cell_angle
D5_lib8_bc1_11_bc2_65_bc3_7	37.129272
D5_lib8_bc1_11_bc2_67_bc3_21	94.08392
D5_lib8_bc1_11_bc2_67_bc3_65	213.99397
D5_lib8_bc1_11_bc2_68_bc3_48	130.08145
D5_lib8_bc1_11_bc2_68_bc3_82	7.3551025
D5_lib8_bc1_11_bc2_69_bc3_54	322.64478
D5_lib8_bc1_11_bc2_69_bc3_60	49.389038
D5_lib8_bc1_11_bc2_69_bc3_83	278.01953
D5_lib8_bc1_11_bc2_6_bc3_50	30.698242
D5_lib8_bc1_11_bc2_70_bc3_13	259.0385
D5_lib8_bc1_11_bc2_70_bc3_45	1.2945557
D5_lib8_bc1_11_bc2_70_bc3_81	277.44098
D5_lib8_bc1_11_bc2_71_bc3_5	309.82104
D5_lib8_bc1_11_bc2_71_bc3_90	140.49944
D5_lib8_bc1_11_bc2_72_bc3_11	208.47276
D5_lib8_bc1_11_bc2_72_bc3_59	73.31473
D5_lib8_bc1_11_bc2_72_bc3_83	204.37616
D5_lib8_bc1_11_bc2_72_bc3_87	127.27905
D5_lib8_bc1_11_bc2_73_bc3_25	270.26678
D5_lib8_bc1_11_bc2_74_bc3_45	307.7788
D5_lib8_bc1_11_bc2_74_bc3_6	151.20311
D5_lib8_bc1_11_bc2_74_bc3_94	202.12187
D5_lib8_bc1_11_bc2_75_bc3_34	32.66797
D5_lib8_bc1_11_bc2_76_bc3_66	148.06778
D5_lib8_bc1_11_bc2_76_bc3_9	300.3963
D5_lib8_bc1_11_bc2_77_bc3_2	177.02234
D5_lib8_bc1_11_bc2_77_bc3_33	335.53958
D5_lib8_bc1_11_bc2_77_bc3_7	21.480896
D5_lib8_bc1_11_bc2_79_bc3_35	210.75388
D5_lib8_bc1_11_bc2_79_bc3_6	175.84454
D5_lib8_bc1_11_bc2_79_bc3_73	247.87338
D5_lib8_bc1_11_bc2_7_bc3_30	183.0109
D5_lib8_bc1_11_bc2_7_bc3_58	259.8454
D5_lib8_bc1_11_bc2_7_bc3_76	246.83617
D5_lib8_bc1_11_bc2_7_bc3_81	98.81088
D5_lib8_bc1_11_bc2_80_bc3_12	76.65039
D5_lib8_bc1_11_bc2_81_bc3_66	282.62253
D5_lib8_bc1_11_bc2_82_bc3_17	185.82748
D5_lib8_bc1_11_bc2_82_bc3_35	302.62115
D5_lib8_bc1_11_bc2_82_bc3_44	66.10867
