	gene_angle	correction_std	highly_variable	cycle_variable
SAUSA300_RS00560	271.29767	0.6577849543354443	False	False
SAUSA300_RS00570	53.038765	0.37785801417468234	False	False
SAUSA300_RS00575	339.99933	0.4106873542645416	False	False
SAUSA300_RS00580	34.111755	0.2063467375670869	False	False
SAUSA300_RS00585	138.93422	0.5788009685059637	False	False
SAUSA300_RS00590	102.560196	0.48165646292407344	False	False
SAUSA300_RS00595	82.35591	0.5040962063979766	True	True
SAUSA300_RS00600	38.62773	0.28182334737387427	False	False
SAUSA300_RS00605	65.41774	0.31002055346920654	False	False
SAUSA300_RS00620	66.37303	0.430774570754364	False	False
SAUSA300_RS00625	328.9643	0.4200601546846871	False	False
SAUSA300_RS00630	56.321922	0.3557604737401248	False	False
SAUSA300_RS00635	82.10759	0.4293315472497064	False	False
SAUSA300_RS00640	53.78134	0.3077712645357895	False	False
SAUSA300_RS00645	69.63267	0.3022419410310376	False	False
SAUSA300_RS00650	91.8015	0.5236124375345762	False	False
SAUSA300_RS00660	23.065628	0.5549125101450664	False	False
SAUSA300_RS00665	354.68457	0.4142818438418186	False	False
SAUSA300_RS00670	259.03497	0.7788294249068642	False	False
SAUSA300_RS00680	25.078796	0.21464033843092453	False	False
SAUSA300_RS00685	355.8989	0.3427496707914721	False	False
SAUSA300_RS00690	60.11387	0.2855355561537703	True	False
SAUSA300_RS00695	49.420563	0.28794946495206275	False	False
SAUSA300_RS00700	43.064606	0.22549557964692096	True	False
SAUSA300_RS00705	104.887695	0.4540190866142423	False	False
SAUSA300_RS00710	70.420265	0.32547447012638847	True	False
SAUSA300_RS00715	192.17386	0.6920663654004384	False	False
SAUSA300_RS00730	12.240448	0.30502651002886483	False	False
SAUSA300_RS00735	12.303101	0.2713314553673145	False	False
SAUSA300_RS00740	15.428665	0.2768517509963982	False	False
SAUSA300_RS00745	60.984665	0.20211249874220016	False	False
SAUSA300_RS00765	174.92284	0.5565647953523174	False	False
SAUSA300_RS00770	82.587006	0.4423430860671198	False	False
SAUSA300_RS00800	16.402542	0.2894895532257263	True	False
SAUSA300_RS00845	127.43967	0.47781351175512327	False	False
SAUSA300_RS00850	7.253311	0.3147212952347242	False	False
SAUSA300_RS00855	172.86823	0.5906221587849708	False	False
SAUSA300_RS00860	117.807434	0.45942994958557565	False	False
SAUSA300_RS00865	61.529343	0.2918474608956041	False	False
SAUSA300_RS00870	37.061768	0.277588320457336	True	False
SAUSA300_RS00875	100.14184	0.5608735104758329	False	False
SAUSA300_RS00880	88.48465	0.44213311386827786	False	False
SAUSA300_RS00890	27.79007	0.2839312134916343	False	False
SAUSA300_RS00895	344.28766	0.6392658814096479	False	False
SAUSA300_RS00900	359.53546	0.5368415812877787	False	False
SAUSA300_RS00910	74.65086	0.25469639261936483	False	False
SAUSA300_RS00915	61.97049	0.23305105740251425	True	False
SAUSA300_RS00920	71.98662	0.21242239458568035	True	False
SAUSA300_RS00925	67.570915	0.22771940311251532	True	False
SAUSA300_RS00930	78.51328	0.25486581870063796	False	False
SAUSA300_RS00935	65.86854	0.2345462654753973	False	False
SAUSA300_RS00940	52.320007	0.21212498657762133	True	False
SAUSA300_RS00945	67.63602	0.21796762138629114	False	False
SAUSA300_RS00950	80.028435	0.3847216021247268	True	False
SAUSA300_RS00955	106.56934	0.47760146401660125	True	False
SAUSA300_RS00960	134.51505	0.574889178993105	False	False
SAUSA300_RS00965	44.24391	0.26129508156442843	False	False
SAUSA300_RS00970	29.546265	0.4063292575213159	False	False
SAUSA300_RS00975	190.52475	0.498059322562639	False	False
SAUSA300_RS00980	61.449387	0.2058962762385231	False	False
SAUSA300_RS00985	350.35547	0.4598022239778514	False	False
SAUSA300_RS00990	327.07474	0.521067139723664	False	False
