	N	D	A
260	2342	-1.4784377771324444	-1.3727854
261	2342	-1.4725893300378823	-0.7769766
262	2342	-1.4618110401044484	1.9591758
263	2342	-1.44998291673594	-1.6900097
264	2342	-1.4490555638682905	-1.097223
265	2342	-1.446754678923085	-1.3249764
266	2342	-1.4403725664990266	-1.2095176
267	2342	-1.4321444969516284	-0.1837771
268	2342	-1.4307972107099491	-0.6612096
269	2342	-1.4266853630892395	-1.1583906
270	2342	-1.4219829841613008	-1.6289464
271	2342	-1.4148922341685668	-0.88081217
272	2342	-1.405539967984443	-1.0099204
273	2342	-1.4002470577492743	-1.5484912
274	2342	-1.389289421270682	-2.3188086
275	2342	-1.3882352135296276	-2.169837
276	2342	-1.386096177905663	-2.2956963
277	2342	-1.3850419701646088	-1.229985
278	2342	-1.3841671089687129	-1.3245252
279	2342	-1.3809388711558583	-1.5942323
280	2342	-1.3772557055211379	-1.0815985
281	2342	-1.367942808090829	-1.0290489
282	2342	-1.3655850571678905	-1.1459081
283	2342	-1.3567664563132624	-2.7320812
284	2342	-1.346832407433868	-1.4383638
285	2342	-1.3387924330435872	-2.2830281
286	2342	-1.3261375658449572	-1.749292
287	2342	-1.3217545112535203	-1.3528852
288	2342	-1.317769518506216	-1.5733312
289	2342	-1.316829042720628	-1.0809765
290	2342	-1.310818746304825	3.048671
291	2342	-1.3097514156458325	-0.015579939
292	2342	-1.308364760650338	-0.09626913
293	2342	-1.3059370208317278	-0.16029787
294	2342	-1.2887853670861944	0.5167165
295	2342	-1.2832168755743185	0.39760876
296	2342	-1.2802554704262121	-0.032848835
297	2342	-1.2757499352673496	-1.6417388
298	2342	-1.2718961716994295	1.0976207
299	2342	-1.2632875375318167	-0.035605192
300	2342	-1.260728568533822	-0.033543587
301	2342	-1.258576409991919	-1.7121
302	2342	-1.2488479534935597	-0.46539736
303	2342	-1.2403924200352288	-0.8603778
304	2342	-1.2369804613712356	-0.5524154
305	2342	-1.2345745930825227	-1.4775873
306	2342	-1.2323305741150508	-0.5635743
307	2342	-1.2298022252589123	-0.37405157
308	2342	-1.2240893816497138	-0.32130432
309	2342	-1.2175672914343123	-0.35372448
310	2342	-1.1945846878181345	2.237734
311	2342	-1.1908052874518655	-1.7413845
312	2342	-1.1445076329650699	-0.26224256
313	2342	-1.1403651652025042	-0.6420984
314	2342	-1.1335893652402924	-0.3155849
315	2342	-1.1266167215090044	-0.048547745
316	2342	-1.1235590816293493	-0.19351673
317	2342	-1.1100381018467829	-1.5627246
318	2342	-1.095620389338423	2.5374124
319	2342	-1.0918541118900924	1.1552556
320	2342	-1.087676649679691	-0.77815604
321	2342	-1.0840416014107448	-0.8426864
322	2342	-1.07980727322261	-0.030894518
323	2342	-1.0762990798270686	0.08876133
324	2342	-1.0705031244042602	-0.3932433
325	2342	-1.0690071117592788	-0.3283291
