Cell Barcode	UMAP-1	UMAP-2
D5_lib8_bc1_11_bc2_46_bc3_45	2.5688782	5.494326
D5_lib8_bc1_11_bc2_46_bc3_77	1.6094346	-1.2295995
D5_lib8_bc1_11_bc2_46_bc3_89	0.70837355	-4.4434934
D5_lib8_bc1_11_bc2_47_bc3_34	0.95977974	4.825599
D5_lib8_bc1_11_bc2_47_bc3_64	1.2974763	-2.868164
D5_lib8_bc1_11_bc2_49_bc3_17	3.5617485	-2.939786
D5_lib8_bc1_11_bc2_49_bc3_71	-4.741307	-1.5531199
D5_lib8_bc1_11_bc2_4_bc3_11	0.8452282	-5.73123
D5_lib8_bc1_11_bc2_4_bc3_14	-2.2976727	-1.4816186
D5_lib8_bc1_11_bc2_4_bc3_24	4.3728905	-4.706904
D5_lib8_bc1_11_bc2_4_bc3_52	-5.5423164	-2.2262788
D5_lib8_bc1_11_bc2_4_bc3_60	1.9070368	2.4944067
D5_lib8_bc1_11_bc2_4_bc3_72	5.888397	0.29448652
D5_lib8_bc1_11_bc2_4_bc3_94	-5.2321014	-0.64719915
D5_lib8_bc1_11_bc2_50_bc3_41	-1.1009009	-2.8472888
D5_lib8_bc1_11_bc2_51_bc3_45	4.1487865	-4.166945
D5_lib8_bc1_11_bc2_51_bc3_66	-6.5622134	-1.8387549
D5_lib8_bc1_11_bc2_51_bc3_67	-0.21195078	3.1697135
D5_lib8_bc1_11_bc2_53_bc3_25	-1.4644575	-4.853343
D5_lib8_bc1_11_bc2_53_bc3_55	-1.3240678	2.630138
D5_lib8_bc1_11_bc2_53_bc3_56	4.388439	-3.8419504
D5_lib8_bc1_11_bc2_54_bc3_3	-5.028918	-0.43923903
D5_lib8_bc1_11_bc2_54_bc3_86	-2.6107993	5.2865663
D5_lib8_bc1_11_bc2_54_bc3_9	-2.5784795	5.598576
D5_lib8_bc1_11_bc2_56_bc3_13	-3.6670537	-3.7111883
D5_lib8_bc1_11_bc2_56_bc3_24	-2.4163578	-2.062113
D5_lib8_bc1_11_bc2_56_bc3_46	-5.534899	0.08278704
D5_lib8_bc1_11_bc2_56_bc3_67	0.29456663	-2.1950517
D5_lib8_bc1_11_bc2_57_bc3_69	4.58587	2.1694431
D5_lib8_bc1_11_bc2_58_bc3_45	2.781117	-5.3258905
D5_lib8_bc1_11_bc2_58_bc3_92	2.2610846	4.1608405
D5_lib8_bc1_11_bc2_59_bc3_14	-5.826094	2.1600266
D5_lib8_bc1_11_bc2_59_bc3_75	4.1569643	5.220121
D5_lib8_bc1_11_bc2_5_bc3_38	-3.3372712	-0.43385696
D5_lib8_bc1_11_bc2_5_bc3_5	-4.3567038	-1.1872938
D5_lib8_bc1_11_bc2_61_bc3_79	4.0377474	3.4650903
D5_lib8_bc1_11_bc2_62_bc3_13	-6.4417877	-0.9078059
D5_lib8_bc1_11_bc2_62_bc3_62	-3.2336378	0.34202862
D5_lib8_bc1_11_bc2_63_bc3_40	-3.1452186	-3.7757103
D5_lib8_bc1_11_bc2_63_bc3_55	1.8969045	-5.722102
D5_lib8_bc1_11_bc2_64_bc3_1	4.7052374	-2.318097
D5_lib8_bc1_11_bc2_65_bc3_44	-2.134866	1.7694588
D5_lib8_bc1_11_bc2_65_bc3_64	2.6050105	-0.90546846
D5_lib8_bc1_11_bc2_65_bc3_7	3.4256582	-4.5247226
D5_lib8_bc1_11_bc2_67_bc3_21	5.3357296	0.38096428
D5_lib8_bc1_11_bc2_67_bc3_65	-3.3968792	5.0372243
D5_lib8_bc1_11_bc2_68_bc3_48	3.3890715	2.8519888
D5_lib8_bc1_11_bc2_68_bc3_82	0.5974102	-4.6281967
D5_lib8_bc1_11_bc2_69_bc3_54	-3.7707996	-4.9399996
D5_lib8_bc1_11_bc2_69_bc3_60	2.2936587	-1.9666648
D5_lib8_bc1_11_bc2_69_bc3_83	-5.6120276	-0.7906704
D5_lib8_bc1_11_bc2_6_bc3_50	3.1743698	-5.3466206
D5_lib8_bc1_11_bc2_70_bc3_13	-4.113971	0.7968068
D5_lib8_bc1_11_bc2_70_bc3_45	0.06831741	-3.0231552
D5_lib8_bc1_11_bc2_70_bc3_81	-2.6664946	-0.34825563
D5_lib8_bc1_11_bc2_71_bc3_5	-4.044831	-3.3725405
D5_lib8_bc1_11_bc2_71_bc3_90	3.2690306	3.9655719
D5_lib8_bc1_11_bc2_72_bc3_11	-2.7509317	5.0723357
D5_lib8_bc1_11_bc2_72_bc3_59	5.0467234	-1.5126762
D5_lib8_bc1_11_bc2_72_bc3_83	-2.461555	5.4324746
D5_lib8_bc1_11_bc2_72_bc3_87	2.7131834	2.0653248
D5_lib8_bc1_11_bc2_73_bc3_25	-4.172594	-0.019427776
D5_lib8_bc1_11_bc2_74_bc3_45	-4.272263	-3.3113778
D5_lib8_bc1_11_bc2_74_bc3_6	2.8543177	5.192653
D5_lib8_bc1_11_bc2_74_bc3_94	-2.2693806	5.5826964
D5_lib8_bc1_11_bc2_75_bc3_34	2.4679294	-3.8489254
D5_lib8_bc1_11_bc2_76_bc3_66	2.958253	4.7466807
D5_lib8_bc1_11_bc2_76_bc3_9	-5.4124694	-3.1750054
D5_lib8_bc1_11_bc2_77_bc3_2	0.29284096	5.62974
D5_lib8_bc1_11_bc2_77_bc3_33	-2.3058221	-5.0689406
D5_lib8_bc1_11_bc2_77_bc3_7	1.233993	-3.135736
D5_lib8_bc1_11_bc2_79_bc3_35	-2.3683202	3.9801745
D5_lib8_bc1_11_bc2_79_bc3_6	0.39325285	5.4127
D5_lib8_bc1_11_bc2_79_bc3_73	-4.527821	1.8410082
D5_lib8_bc1_11_bc2_7_bc3_30	-0.20393324	3.8771749
D5_lib8_bc1_11_bc2_7_bc3_58	-6.570698	1.1768827
D5_lib8_bc1_11_bc2_7_bc3_76	-5.425226	2.3212023
D5_lib8_bc1_11_bc2_7_bc3_81	4.8395348	0.75014114
D5_lib8_bc1_11_bc2_80_bc3_12	2.9994612	-0.7117853
D5_lib8_bc1_11_bc2_81_bc3_66	-6.5805326	-1.473639
D5_lib8_bc1_11_bc2_82_bc3_17	-0.6193571	6.068506
D5_lib8_bc1_11_bc2_82_bc3_35	-5.4709463	-3.5016656
D5_lib8_bc1_11_bc2_82_bc3_44	4.977971	-2.2050319
D5_lib8_bc1_11_bc2_82_bc3_81	-5.0641446	1.5338364
D5_lib8_bc1_11_bc2_83_bc3_45	-6.514635	-0.53017235
D5_lib8_bc1_11_bc2_84_bc3_24	2.6484303	2.1751027
D5_lib8_bc1_11_bc2_84_bc3_44	5.5294285	-1.2294414
D5_lib8_bc1_11_bc2_84_bc3_56	-2.1046944	-2.3216596
D5_lib8_bc1_11_bc2_85_bc3_69	3.9827156	3.1364675
D5_lib8_bc1_11_bc2_85_bc3_86	-2.0687048	-4.3333454
D5_lib8_bc1_11_bc2_87_bc3_37	-6.0189385	-1.1418045
D5_lib8_bc1_11_bc2_88_bc3_93	3.859624	2.1165066
D5_lib8_bc1_11_bc2_8_bc3_15	-2.1272554	5.1179185
D5_lib8_bc1_11_bc2_8_bc3_2	-0.3215084	4.444015
D5_lib8_bc1_11_bc2_8_bc3_31	-2.0942042	2.1315947
D5_lib8_bc1_11_bc2_90_bc3_39	-5.508177	1.9364367
D5_lib8_bc1_11_bc2_90_bc3_91	4.922929	-1.1890593
D5_lib8_bc1_11_bc2_91_bc3_16	4.5029135	-2.634941
D5_lib8_bc1_11_bc2_91_bc3_47	4.192089	-4.6616354
D5_lib8_bc1_11_bc2_92_bc3_69	-3.078465	1.7241135
D5_lib8_bc1_11_bc2_93_bc3_16	5.1933746	0.4749794
D5_lib8_bc1_11_bc2_93_bc3_6	1.8822646	2.549572
D5_lib8_bc1_11_bc2_95_bc3_47	0.8926816	4.3624873
D5_lib8_bc1_11_bc2_96_bc3_13	-1.493665	5.9535766
D5_lib8_bc1_11_bc2_96_bc3_15	2.6252599	-2.0980508
D5_lib8_bc1_11_bc2_96_bc3_79	-0.7090206	6.235206
D5_lib8_bc1_11_bc2_96_bc3_82	-1.0054193	1.3818407
D5_lib8_bc1_11_bc2_9_bc3_19	-5.092013	1.7694302
D5_lib8_bc1_11_bc2_9_bc3_37	-2.3496356	-1.8703141
D5_lib8_bc1_12_bc2_10_bc3_21	-1.9038363	2.1704168
D5_lib8_bc1_12_bc2_10_bc3_45	3.765314	1.4788089
D5_lib8_bc1_12_bc2_10_bc3_74	-3.3483293	-3.527293
D5_lib8_bc1_12_bc2_11_bc3_50	-5.633271	-3.77954
D5_lib8_bc1_12_bc2_14_bc3_33	-0.5719061	6.2244296
D5_lib8_bc1_12_bc2_14_bc3_77	4.5047417	2.5201015
D5_lib8_bc1_12_bc2_15_bc3_13	5.424258	1.2433486
D5_lib8_bc1_12_bc2_15_bc3_59	-1.6793334	-5.169898
D5_lib8_bc1_12_bc2_16_bc3_40	-3.582088	-3.344109
D5_lib8_bc1_12_bc2_17_bc3_52	-0.954978	-4.2337184
D5_lib8_bc1_12_bc2_18_bc3_11	0.4071493	6.372972
D5_lib8_bc1_12_bc2_18_bc3_25	-3.0525978	-0.3078003
D5_lib8_bc1_12_bc2_18_bc3_31	4.380885	0.5155659
D5_lib8_bc1_12_bc2_18_bc3_36	-1.9887972	-4.7523823
D5_lib8_bc1_12_bc2_18_bc3_66	3.0154848	-5.2930408
D5_lib8_bc1_12_bc2_19_bc3_2	-2.2223833	5.506869
D5_lib8_bc1_12_bc2_1_bc3_11	-5.9358125	-1.6680336
D5_lib8_bc1_12_bc2_1_bc3_39	5.8223467	0.697608
D5_lib8_bc1_12_bc2_20_bc3_30	1.1004844	5.0544868
D5_lib8_bc1_12_bc2_20_bc3_41	-6.4190354	1.0754528
D5_lib8_bc1_12_bc2_20_bc3_6	-3.7120743	5.0489564
D5_lib8_bc1_12_bc2_21_bc3_60	-3.6336846	4.0946546
D5_lib8_bc1_12_bc2_22_bc3_69	5.526043	0.86185503
D5_lib8_bc1_12_bc2_22_bc3_79	-3.0930943	-1.253833
D5_lib8_bc1_12_bc2_23_bc3_12	4.9338455	-3.3127937
D5_lib8_bc1_12_bc2_24_bc3_77	1.1410618	4.9206634
D5_lib8_bc1_12_bc2_24_bc3_9	3.9079494	2.2149558
D5_lib8_bc1_12_bc2_25_bc3_2	0.19972897	4.4613214
D5_lib8_bc1_12_bc2_25_bc3_59	3.3029852	3.9348292
D5_lib8_bc1_12_bc2_25_bc3_83	1.9444718	3.7979121
D5_lib8_bc1_12_bc2_26_bc3_66	4.9199963	-0.33278418
D5_lib8_bc1_12_bc2_26_bc3_87	-3.4643974	-0.011829853
D5_lib8_bc1_12_bc2_28_bc3_15	-5.693019	0.4541645
D5_lib8_bc1_12_bc2_28_bc3_19	-6.158843	-0.03772688
D5_lib8_bc1_12_bc2_28_bc3_63	6.291133	-0.057146072
D5_lib8_bc1_12_bc2_29_bc3_18	5.3669443	1.1031232
