cell_angle	gene_angle	expression
-2.85927	-1.4183853	0.1451077
-2.85927	-1.3484714	0.20286162
-2.85927	-1.2974786	0.3484638
-2.85927	-1.2255405	0.18600982
-2.85927	-1.1582689	0.24209964
-2.85927	-1.0968113	0.33740428
-2.85927	-1.03948	0.260163
-2.85927	-0.9765947	0.4451272
-2.85927	-0.912997	0.3738663
-2.85927	-0.8470843	0.47881764
-2.85927	-0.78261423	0.36916876
-2.85927	-0.72857594	0.4513865
-2.85927	-0.65876913	0.41071293
-2.85927	-0.6003947	0.46734652
-2.85927	-0.5386982	0.47289178
-2.85927	-0.46863675	0.42818907
-2.85927	-0.41355753	0.5054432
-2.85927	-0.34690762	0.46614897
-2.85927	-0.28091502	0.43244752
-2.85927	-0.2254548	0.33980092
-2.85927	-0.16383696	0.49539185
-2.85927	-0.099280834	0.40725666
-2.85927	-0.031149387	0.43702957
-2.85927	0.023422956	0.5075805
-2.85927	0.09518695	0.3835762
-2.85927	0.15850925	0.5033776
-2.85927	0.22248673	0.4230371
-2.85927	0.29175448	0.3290248
-2.85927	0.3427229	0.36832705
-2.85927	0.4089749	0.2388843
-2.85927	0.46765304	0.19943947
-2.85927	0.53337574	0.31415528
-2.85927	0.59359264	0.20044953
-2.85927	0.6631508	0.10582104
-2.85927	0.7255933	0.123134896
-2.85927	0.785414	0.09988558
-2.85927	0.8526194	0.006532933
-2.85927	0.90943074	-0.053194243
-2.85927	0.98616624	-0.06234665
-2.85927	1.0349038	-0.11110198
-2.85927	1.1006563	-0.15073399
-2.85927	1.16695	-0.1969556
-2.85927	1.2283647	-0.17890234
-2.85927	1.2860177	-0.32860944
-2.85927	1.3462832	-0.39363733
-2.85927	1.4076474	-0.28678882
-2.85927	1.4790037	-0.42761546
-2.85927	1.5389931	-0.43645474
-2.85927	1.6047962	-0.5364201
-2.85927	1.6589229	-0.5707382
-2.85927	1.726052	-0.5437368
-2.85927	1.7914565	-0.5959669
-2.85927	1.849828	-0.6260218
-2.85927	1.9167464	-0.62031454
-2.85927	1.9825475	-0.58679914
-2.85927	2.0394747	-0.7997542
-2.85927	2.1032088	-0.5851086
-2.85927	2.1659925	-0.7081458
-2.85927	2.2252357	-0.61062676
-2.85927	2.2861564	-0.7138693
-2.85927	2.3562376	-0.6059049
-2.85927	2.4195673	-0.63362795
-2.85927	2.4821455	-0.59785867
-2.85927	2.5445416	-0.6567513
-2.85927	2.607569	-0.6878802
-2.85927	2.673991	-0.620375
-2.85927	2.7405002	-0.60036385
-2.85927	2.7970626	-0.5565285
-2.85927	2.8593328	-0.57213783
-2.85927	2.9301932	-0.5563415
-2.85927	2.9837449	-0.46571064
-2.85927	3.045716	-0.43498918
-2.85927	3.1092842	-0.34724805
-2.7955883	-3.1105087	-0.6042215
-2.7955883	-3.0466485	-0.55671245
-2.7955883	-2.9849415	-0.3818912
-2.7955883	-2.9266996	-0.53490686
-2.7955883	-2.8614807	-0.49631792
-2.7955883	-2.7943614	-0.4752468
-2.7955883	-2.7317448	-0.3832764
-2.7955883	-2.6744542	-0.296636
-2.7955883	-2.6036892	-0.44943452
-2.7955883	-2.5419345	-0.25912783
-2.7955883	-2.481099	-0.29747832
-2.7955883	-2.4203305	-0.31022972
-2.7955883	-2.3581228	-0.3150649
-2.7955883	-2.2966204	-0.14843321
-2.7955883	-2.2276394	-0.20710783
-2.7955883	-2.1718416	-0.15501128
-2.7955883	-2.1018038	-0.058501855
-2.7955883	-2.0481963	-0.1275679
-2.7955883	-1.9814297	-0.074521795
-2.7955883	-1.9159212	-0.0820676
-2.7955883	-1.8559505	-0.08263692
-2.7955883	-1.7988051	0.0052806316
-2.7955883	-1.728445	-0.07311952
-2.7955883	-1.6636312	0.08871346
-2.7955883	-1.5978097	0.0513675
-2.7955883	-1.5414871	0.07165808
-2.7955883	-1.4817711	0.07817788
-2.7955883	-1.4183853	0.087338164
-2.7955883	-1.3484714	0.1435925
-2.7955883	-1.2974786	0.28683618
-2.7955883	-1.2255405	0.15097772
-2.7955883	-1.1582689	0.1585545
-2.7955883	-1.0968113	0.2794009
-2.7955883	-1.03948	0.21963562
-2.7955883	-0.9765947	0.38213718
-2.7955883	-0.912997	0.30809316
-2.7955883	-0.8470843	0.39227054
-2.7955883	-0.78261423	0.33275813
-2.7955883	-0.72857594	0.3731981
-2.7955883	-0.65876913	0.40208617
-2.7955883	-0.6003947	0.43118048
-2.7955883	-0.5386982	0.4357124
-2.7955883	-0.46863675	0.38727897
-2.7955883	-0.41355753	0.4863195
-2.7955883	-0.34690762	0.41464934
-2.7955883	-0.28091502	0.4374914
-2.7955883	-0.2254548	0.3314689
-2.7955883	-0.16383696	0.5006184
-2.7955883	-0.099280834	0.41847
-2.7955883	-0.031149387	0.42338613
-2.7955883	0.023422956	0.48397818
-2.7955883	0.09518695	0.38504234
-2.7955883	0.15850925	0.50854844
-2.7955883	0.22248673	0.3820492
-2.7955883	0.29175448	0.31514338
-2.7955883	0.3427229	0.35983238
-2.7955883	0.4089749	0.2639328
-2.7955883	0.46765304	0.19343184
-2.7955883	0.53337574	0.3262531
-2.7955883	0.59359264	0.20398986
-2.7955883	0.6631508	0.13781965
-2.7955883	0.7255933	0.1231536
-2.7955883	0.785414	0.101181895
