Genes	Promoters - promoters upstream of gene	Regulation - transcription units of gene	Transcription Units	Regulation - transcription factor regulators of gene	Accession-1
EG12130		TU00423	TU00423		b2526
EG12131	PM00573	TU00423	TU00423		b2527
G6357		TU0-13013	TU0-13013		b0650
EG10458		TU0-14319 // TU00286	TU0-14319 // TU00286		b4349
EG10459		TU0-14319	TU0-14319		b4350
EG10460		TU0-14319 // TU00286	TU0-14319 // TU00286		b4348
G6702	PM0-9409	TU0-13241	TU0-13241	CPLX0-2781	b1379
G7744		TU0-14479 // TU0-13930	TU0-14479 // TU0-13930		b3401
G7743	PM0-9732	TU0-14479 // TU0-13929	TU0-14479 // TU0-13929		b3400
EG11881		TU00287	TU00287		b3931
EG11676	PM00485	TU00287	TU00287		b3932
G6500	PM0-9861	TU0-13102	TU0-13102	PD00353	b0966
EG11732		TU0-14033	TU0-14033	G7072-MONOMER	b3754
EG10461	PM0-10471 // PM00341 // PM00340	TU0-14784 // TU00402 // TU00401	TU0-14784 // TU00402 // TU00401	EG10087-MONOMER // G7072-MONOMER	b0473
EG10462	PM00381	TU00400	TU00400	G7072-MONOMER	b1829
EG11972		TU00404 // TU00403 // TU00263	TU00404 // TU00403 // TU00263	PC00027 // PD00353 // G7072-MONOMER // EG12386-MONOMER	b0139
EG11188		TU0-14000	TU0-14000		b3618
EG10466	PM586	TU486	TU486	CPLX0-226 // CPLX0-7705 // G7072-MONOMER	b4000
EG10467	PM590 // PM589 // PM588 // PM587	TU490 // TU489 // TU488 // TU487	TU490 // TU489 // TU488 // TU487	CPLX0-226 // CPLX0-7705	b0440
G7187		TU0-13582	TU0-13582	EG12386-MONOMER	b2293
G6932	PM0-10058	TU0-13383	TU0-13383	G7072-MONOMER	b1727
EG10468	PM0-46472 // PM00598	TU0-45171 // TU00288	TU0-45171 // TU00288	G6789-MONOMER // CPLX0-7705 // PHOSPHO-NARL // PHOSPHO-NARP // G7326-MONOMER // PHOSPHO-ARCA // PD00967	b0972
EG10469		TU0-45171 // TU00288	TU0-45171 // TU00288	G6789-MONOMER // CPLX0-7705 // PHOSPHO-NARL // PHOSPHO-NARP // G7326-MONOMER // PHOSPHO-ARCA // PD00967	b0973
EG10470		TU0-45171 // TU00288	TU0-45171 // TU00288	G6789-MONOMER // CPLX0-7705 // PHOSPHO-NARL // PHOSPHO-NARP // G7326-MONOMER // PHOSPHO-ARCA // PD00967	b0974
EG10471		TU0-45171 // TU00288	TU0-45171 // TU00288	G6789-MONOMER // CPLX0-7705 // PHOSPHO-NARL // PHOSPHO-NARP // G7326-MONOMER // PHOSPHO-ARCA // PD00967	b0975
EG10472		TU0-45171 // TU00288	TU0-45171 // TU00288	G6789-MONOMER // CPLX0-7705 // PHOSPHO-NARL // PHOSPHO-NARP // G7326-MONOMER // PHOSPHO-ARCA // PD00967	b0976
EG10473		TU0-45171 // TU00288	TU0-45171 // TU00288	G6789-MONOMER // CPLX0-7705 // PHOSPHO-NARL // PHOSPHO-NARP // G7326-MONOMER // PHOSPHO-ARCA // PD00967	b0977
EG11799		TU00289	TU00289	PHOSPHO-ARCA // PHOSPHO-NARL // EG11431-MONOMER	b2996
EG11800		TU00289	TU00289	PHOSPHO-ARCA // PHOSPHO-NARL // EG11431-MONOMER	b2995
EG11801		TU00289	TU00289	PHOSPHO-ARCA // PHOSPHO-NARL // EG11431-MONOMER	b2994
EG11802		TU00289	TU00289	PHOSPHO-ARCA // PHOSPHO-NARL // EG11431-MONOMER	b2993
EG11803		TU00289	TU00289	PHOSPHO-ARCA // PHOSPHO-NARL // EG11431-MONOMER	b2992
EG11804		TU00289	TU00289	PHOSPHO-ARCA // PHOSPHO-NARL // EG11431-MONOMER	b2991
EG11805		TU00289	TU00289	PHOSPHO-ARCA // PHOSPHO-NARL // EG11431-MONOMER	b2990
G7554	PM197	TU00289	TU00289	PHOSPHO-ARCA // PHOSPHO-NARL // EG11431-MONOMER	b2997
EG10474	PM00209	TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2725
EG10475		TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2724
EG10476		TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2723
EG10477		TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2722
EG10478		TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2721
EG10479		TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2720
EG10480		TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2719
EG10481		TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2718
G7414		TU00153	TU00153	CPLX0-7756 // PC00027 // MONOMER0-183 // CPLX0-6	b2717
EG11552	PM526	TU424	TU424	MONOMER0-183 // CPLX0-3930	b2713
EG11150	PM787	TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2481
EG11282		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2482
G7300		TU686	TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	b2483
