Cell Barcode	UMAP-1	UMAP-2
D1_lib8_bc1_11_bc2_67_bc3_70	2.5667295	-5.004595
D1_lib8_bc1_11_bc2_68_bc3_21	-4.11407	-2.7550218
D1_lib8_bc1_11_bc2_68_bc3_25	-5.790728	-3.1171489
D1_lib8_bc1_11_bc2_68_bc3_55	-5.6280165	0.40556955
D1_lib8_bc1_11_bc2_69_bc3_26	5.979341	-0.7773371
D1_lib8_bc1_11_bc2_6_bc3_66	0.5169091	-6.1015463
D1_lib8_bc1_11_bc2_6_bc3_88	-5.380417	3.1171494
D1_lib8_bc1_11_bc2_70_bc3_15	6.890322	-0.11926222
D1_lib8_bc1_11_bc2_70_bc3_20	-6.2814794	-1.6339593
D1_lib8_bc1_11_bc2_70_bc3_83	6.4590163	-2.5474248
D1_lib8_bc1_11_bc2_72_bc3_24	5.9308524	-2.0463886
D1_lib8_bc1_11_bc2_72_bc3_51	-4.8546844	-3.128193
D1_lib8_bc1_11_bc2_72_bc3_92	-4.525145	0.09888172
D1_lib8_bc1_11_bc2_74_bc3_44	-7.094205	1.2239408
D1_lib8_bc1_11_bc2_74_bc3_5	1.9253497	5.657091
D1_lib8_bc1_11_bc2_74_bc3_51	-6.7817173	-0.1439786
D1_lib8_bc1_11_bc2_74_bc3_60	-5.6227674	-2.3422399
D1_lib8_bc1_11_bc2_75_bc3_25	-6.349606	2.0570126
D1_lib8_bc1_11_bc2_75_bc3_35	0.37820196	-6.653976
D1_lib8_bc1_11_bc2_76_bc3_73	-3.5814838	-5.345851
D1_lib8_bc1_11_bc2_77_bc3_47	-1.4518204	-6.35825
D1_lib8_bc1_11_bc2_77_bc3_55	-5.2230773	4.012827
D1_lib8_bc1_11_bc2_77_bc3_68	-6.1838436	-1.8379047
D1_lib8_bc1_11_bc2_77_bc3_76	4.739139	-5.2995114
D1_lib8_bc1_11_bc2_77_bc3_87	2.8780847	-6.0872045
D1_lib8_bc1_11_bc2_77_bc3_93	6.2052207	-0.65881157
D1_lib8_bc1_11_bc2_78_bc3_54	-2.7145581	-3.60939
D1_lib8_bc1_11_bc2_79_bc3_16	6.9141	1.2824402
D1_lib8_bc1_11_bc2_79_bc3_32	-3.7757583	2.1729198
D1_lib8_bc1_11_bc2_79_bc3_94	5.0706544	1.9741063
D1_lib8_bc1_11_bc2_7_bc3_16	0.26889658	6.9738865
D1_lib8_bc1_11_bc2_7_bc3_53	-5.596024	-2.2150857
D1_lib8_bc1_11_bc2_80_bc3_78	2.5541363	5.34778
D1_lib8_bc1_11_bc2_80_bc3_8	0.41804123	3.5245333
D1_lib8_bc1_11_bc2_81_bc3_17	4.619143	-4.772453
D1_lib8_bc1_11_bc2_81_bc3_62	-3.8204675	-4.3461275
D1_lib8_bc1_11_bc2_81_bc3_67	-4.6557875	0.70188236
D1_lib8_bc1_11_bc2_82_bc3_14	-5.337816	0.05833435
D1_lib8_bc1_11_bc2_82_bc3_18	-0.70391417	-4.678829
D1_lib8_bc1_11_bc2_82_bc3_72	2.658049	6.6015425
D1_lib8_bc1_11_bc2_82_bc3_88	3.568874	-3.1307356
D1_lib8_bc1_11_bc2_87_bc3_40	-1.303379	3.7833776
D1_lib8_bc1_11_bc2_89_bc3_44	4.248341	-5.6090727
D1_lib8_bc1_11_bc2_89_bc3_58	-0.6171379	4.3352556
D1_lib8_bc1_11_bc2_89_bc3_61	-3.32032	-4.976515
D1_lib8_bc1_11_bc2_89_bc3_64	-1.6747146	-5.7863564
D1_lib8_bc1_11_bc2_8_bc3_63	2.0426588	-5.682043
D1_lib8_bc1_11_bc2_8_bc3_66	-4.1764784	3.803854
D1_lib8_bc1_11_bc2_90_bc3_18	1.5171905	-7.046238
D1_lib8_bc1_11_bc2_90_bc3_26	-5.766228	1.5864654
D1_lib8_bc1_11_bc2_90_bc3_39	5.9721246	-0.9990864
D1_lib8_bc1_11_bc2_90_bc3_62	1.4067879	-5.7549624
D1_lib8_bc1_11_bc2_90_bc3_67	-6.0536118	1.5500989
D1_lib8_bc1_11_bc2_91_bc3_84	-3.0365484	-4.2303023
D1_lib8_bc1_11_bc2_91_bc3_94	5.08853	-1.6085782
D1_lib8_bc1_11_bc2_94_bc3_38	3.0162454	3.6707811
D1_lib8_bc1_11_bc2_94_bc3_62	3.9580407	4.741665
D1_lib8_bc1_11_bc2_95_bc3_23	-1.8340313	-3.3558056
D1_lib8_bc1_11_bc2_95_bc3_70	3.8789725	3.4132862
D1_lib8_bc1_11_bc2_9_bc3_33	0.54232025	-3.9533386
D1_lib8_bc1_11_bc2_9_bc3_75	-3.5024426	-4.687234
D1_lib8_bc1_12_bc2_10_bc3_78	-2.7293823	1.247796
D1_lib8_bc1_12_bc2_11_bc3_52	1.1801744	5.740246
D1_lib8_bc1_12_bc2_11_bc3_54	-5.1908827	2.8045807
D1_lib8_bc1_12_bc2_12_bc3_50	-0.2541809	5.794403
