	gene_angle	correction_std	highly_variable	cycle_variable
b3874	63.177948	0.25479380468553947	False	False
b3878	33.113464	0.4271962978159729	False	False
b3883	29.221985	0.4238599738853275	False	False
b3884	108.28894	0.32208393853485967	False	False
b3885	77.2905	0.3676693154147814	False	False
b3886	89.60416	0.23462457708733628	False	False
b3887	61.90143	0.4208453374104499	False	False
b3888	98.00723	0.22523778882148587	False	False
b3891	117.125	0.5877762909890876	True	True
b3892	121.91611	0.5783396941490743	True	True
b3893	106.0112	0.4626063254218306	False	False
b3894	89.486084	0.374334865601812	True	False
b3895	74.245544	0.2630126689312216	False	False
b3896	105.16864	0.3790939685141121	False	False
b3908	75.822296	0.1898206970697	False	False
b3909	352.63773	0.5796017620480121	False	False
b3910	98.71997	0.2660741836157421	False	False
b3911	80.33203	0.2991170867018157	False	False
b3912	113.2	0.28642787585881674	False	False
b4484	53.523743	0.4462488688162545	False	False
b3915	80.2959	0.23942186480455824	False	False
b3916	108.26755	0.2599618890242152	False	False
b3917	80.13031	0.31079906432385784	False	False
b3918	29.138947	0.45113762106777117	False	False
b3919	89.9722	0.21800707072436853	False	False
b3920	86.87137	0.3697976057353382	False	False
b3921	73.12103	0.2637053190887854	True	False
b3922	32.110718	0.4244561919789395	False	False
b3923	104.360016	0.29560789713702373	True	False
b3924	134.60675	0.43634195638004264	False	False
b3925	71.75867	0.2549034784750812	False	False
b3926	127.42432	0.4206972056139379	True	False
b3927	76.33029	0.28314636154298584	True	False
b3928	92.8844	0.1991205062354142	False	False
b3929	95.11084	0.3352921554579144	False	False
b3930	120.341736	0.3576674113172275	False	False
b3931	162.49365	0.4550181129619683	False	False
b3932	86.59424	0.2879995131051467	False	False
b3933	65.82593	0.3032388153057604	False	False
b3934	109.71533	0.26571606587169816	False	False
b3935	128.42102	0.44844584847251867	True	False
b3936	28.815338	0.43096612454145483	False	False
b3937	110.09842	0.4004599229877024	False	False
b3938	11.262695	0.5994406595399144	False	False
b3939	75.26111	0.290386691803882	False	False
b3940	80.263	0.3639109731198732	False	False
b3941	87.48465	0.2777235856570341	True	False
b3942	141.824	0.4695126327845635	False	False
b3943	138.46594	0.4057355424911893	False	False
b3951	222.44058	0.620401318669743	False	False
b3954	142.13293	0.4343699540152907	False	False
b3955	122.26976	0.2557805291048571	False	False
b3956	108.57904	0.23827262301088462	True	False
b3957	38.32715	0.590809443332149	True	True
b3958	104.5219	0.31044737365920294	False	False
b3959	118.48224	0.29641719788061077	False	False
b3960	65.74417	0.5242070468292949	True	False
b3961	103.30142	0.22750594920865963	True	False
b3962	75.536865	0.344466469696104	False	False
b3963	97.662476	0.5274936204410441	False	False
b3964	111.47702	0.1959436918090889	False	False
b3965	87.53375	0.24036391231024176	False	False
b3966	138.45146	0.49755857757495153	False	False
b3967	132.4274	0.36433315070324335	False	False
b3972	96.48297	0.3087848061326545	False	False
b3973	105.65448	0.23485533528563388	False	False
b3974	58.078827	0.5719500631634902	False	False
b3976	71.05527	0.39844311712450886	False	False
b3977	92.07367	0.22259761664151473	False	False
b3978	99.065704	0.24652515177585818	True	False
b3979	101.205536	0.16145249058197364	False	False
b3980	116.44623	0.24242549138902164	False	False
b3981	107.6716	0.2421240742625708	False	False
b3982	126.54329	0.38740307329718915	False	False
b3983	114.8887	0.19519713927237403	False	False
b3984	100.801056	0.2228901393711503	False	False
b3985	110.67224	0.3510746461004617	True	False
b3986	130.25978	0.3093474148332383	False	False
b3987	164.72725	0.763044519719136	True	True
b3988	198.61482	1.0090928453523869	True	True
b3989	159.4292	0.5507258262503818	True	True
b4691	62.904816	0.5651153560038755	False	False
b3990	142.83223	0.4595037099950844	True	False
b3991	274.1719	1.0138799405745946	False	False
b3992	134.20398	0.32216626793259623	False	False
b3993	60.301453	0.40779671379045135	False	False
b3994	126.73947	0.3659955622976088	False	False
b3995	84.03906	0.44843196920221623	False	False
b3996	119.276184	0.200411033420864	False	False
b3997	86.16916	0.35219346204401497	False	False
b3998	167.6325	0.4184253702845846	False	False
b3999	96.28317	0.3871571271301168	False	False
b4000	112.11212	0.2657430460938695	False	False
b4001	80.57025	0.45873469669434785	False	False
b4003	49.882202	0.5360195623432525	True	False
b4004	121.65579	0.337220441222281	False	False
b4005	129.534	0.32876984097324213	True	False
b4006	64.13611	0.5340029495964995	False	False
b4011	134.26003	0.21887946812144377	True	False
b4012	85.92163	0.35440502885740216	False	False
b4013	26.972412	0.5500895664134651	False	False
b4014	89.311584	0.4973516553574377	True	False
b4015	105.89873	0.3937238692171605	True	False
b4016	94.45648	0.44264601803148756	False	False
b4017	65.44507	0.5275862164656717	True	False
b4018	56.17517	0.7209370745427497	True	True
b4019	138.99168	0.24042413318937322	False	False
b4020	126.1794	0.3568460779039449	False	False
b4022	131.33173	0.1785658071562512	False	False
b4023	88.68768	0.5276700954980937	False	False
b4024	124.10062	0.27163167104784836	True	False
b4025	153.24577	0.2881158477796754	False	False
b4029	9.559265	0.46638114940018216	False	False
