	N	D	A
106	3070	-2.8137203437294485	-1.519177
107	3070	-2.8057798163025933	-2.6020715
108	3070	-2.8034352896228607	-2.6894295
109	3070	-2.802701609795831	-1.677718
110	3070	-2.80185963774341	-1.9507586
111	3070	-2.7999699384103227	-1.9636041
112	3070	-2.791217219293029	-1.8534318
113	3070	-2.7883447680145115	-1.5635642
114	3070	-2.7837558849635333	-2.795387
115	3070	-2.7827460599617546	-1.4841003
116	3070	-2.777223156466772	-2.8982186
117	3070	-2.775279311020989	-2.3269413
118	3070	-2.77235000632414	-2.038929
119	3070	-2.7533203550171637	-2.5636537
120	3070	-2.7412376499690723	-2.631573
121	3070	-2.7387198557287125	-1.2515935
122	3070	-2.7363265975475533	-1.7926185
123	3070	-2.7347211653061194	-1.5777045
124	3070	-2.7323685167094824	-2.061209
125	3070	-2.7311935460639813	-1.4310433
126	3070	-2.7209626380700893	-1.0973754
127	3070	-2.719251620908899	-1.0137548
128	3070	-2.716817753143218	-1.2913477
129	3070	-2.7085252759838396	-1.5797658
130	3070	-2.7080000586906894	-1.845763
131	3070	-2.705330655334781	-1.3060528
132	3070	-2.6679481791295268	-1.8182435
133	3070	-2.6655657501709067	3.0130966
134	3070	-2.6625010801923183	-1.4186037
135	3070	-2.6566722511606042	-1.7395343
136	3070	-2.6547906737444213	-1.1658798
137	3070	-2.654384577899202	-2.2074273
138	3070	-2.65262753654222	-1.7401649
139	3070	-2.6496955245397364	-1.2519671
140	3070	-2.646224758715929	-1.743055
141	3070	-2.6432575517401933	-2.6330216
142	3070	-2.6389881307541208	-1.5712811
143	3070	-2.6370740656703204	-1.6254008
144	3070	-2.636800627801206	-1.8653895
145	3070	-2.6350354645273195	-2.5811548
146	3070	-2.634152882890376	-1.3201663
147	3070	-2.6309609695469525	-0.7922611
148	3070	-2.627963982209234	-1.8891677
149	3070	-2.623515879051265	-0.9176183
150	3070	-2.6211659377602627	-1.8093773
151	3070	-2.6200153328654747	-1.5204536
152	3070	-2.6178088787731166	-1.4815948
153	3070	-2.61505013433126	-1.0412331
154	3070	-2.611265321053816	-0.30554318
155	3070	-2.6098033760110266	-1.6302377
156	3070	-2.606955290483222	-1.992713
157	3070	-2.6039312300891555	-1.2266983
158	3070	-2.597558232624847	-0.9002228
159	3070	-2.597008649580984	-2.6386697
160	3070	-2.594623513316729	-1.2200125
161	3070	-2.593267153193697	-2.9450216
162	3070	-2.5925172295328585	-1.828038
163	3070	-2.5893686330795913	-1.7407391
164	3070	-2.5818396161092254	-1.614697
165	3070	-2.57853941054041	-0.6662965
166	3070	-2.57238570483252	-0.7249055
167	3070	-2.5510331852908887	0.7407284
168	3070	-2.5393322103373035	-0.6609049
169	3070	-2.534058378960722	-1.0075827
170	3070	-2.5263885820973466	-1.2465307
171	3070	-2.5216535045420896	-2.4726577
172	3070	-2.521236579474331	-1.3173413
173	3070	-2.518496786171918	-1.0736871
174	3070	-2.5162307713555947	-1.9941399
175	3070	-2.51179079011453	-1.3386422
176	3070	-2.505563987154501	-1.8232251
177	3070	-2.5048140634936624	-1.4370608
178	3070	-2.5029081203267665	-1.1959511
179	3070	-2.4988498691802086	-1.6138401
180	3070	-2.497850873400969	-0.72515845
181	3070	-2.49300750362032	-0.83029795
182	3070	-2.4750607745672615	-1.4576467
183	3070	-2.472285786291596	-1.2975737
184	3070	-2.467022784137554	-2.1279254
185	3070	-2.466042739497758	-1.9014438
186	3070	-2.465815325824435	-1.5346041
187	3070	-2.4652711573918413	-1.41257
188	3070	-2.465051865635423	-1.3752222
189	3070	-2.4645374775648117	-1.1092227
190	3070	-2.460709347397211	-1.2623682
191	3070	-2.459667034727815	-0.9329953
192	3070	-2.457761091560919	-1.1364062
193	3070	-2.4565915355266874	-1.3822818
194	3070	-2.453567475132621	-1.2099972
195	3070	-2.4520405547545963	-0.8681302
196	3070	-2.4501860503947617	-0.2665596
197	3070	-2.4390725607639268	0.32489014
198	3070	-2.427062952967974	-0.35902786
199	3070	-2.425165131717983	-2.043696
200	3070	-2.4214263426363303	-0.64869976
201	3070	-2.4193498392144424	1.6436102
202	3070	-2.4168022646121	-0.7992909
203	3070	-2.4151020766734486	-2.0891333
204	3070	-2.409971732495511	-0.9295709
205	3070	-2.4080522528004416	-1.6748344
206	3070	-2.407795058765136	-1.0598302
207	3070	-2.405594019284047	-1.6376572
208	3070	-2.4026863730322767	-0.21585298
209	3070	-2.400753356809033	-1.4611343
