Cell Barcode	cell_angle
D1_lib8_bc1_12_bc2_86_bc3_94	102.129776
D1_lib8_bc1_12_bc2_87_bc3_66	283.28912
D1_lib8_bc1_12_bc2_87_bc3_7	109.25418
D1_lib8_bc1_12_bc2_88_bc3_76	42.871964
D1_lib8_bc1_12_bc2_89_bc3_22	306.1824
D1_lib8_bc1_12_bc2_89_bc3_64	349.87445
D1_lib8_bc1_12_bc2_89_bc3_8	341.42978
D1_lib8_bc1_12_bc2_8_bc3_14	115.29972
D1_lib8_bc1_12_bc2_8_bc3_44	143.16025
D1_lib8_bc1_12_bc2_90_bc3_12	208.88902
