cell_angle	gene_angle	expression
-2.9217877	-2.106731	-0.269711
-2.9217877	-2.0381565	-0.20030268
-2.9217877	-1.9820864	-0.22175072
-2.9217877	-1.9139458	-0.17853324
-2.9217877	-1.845742	-0.24830891
-2.9217877	-1.7929845	-0.08158481
-2.9217877	-1.7332125	-0.18225072
-2.9217877	-1.664613	-0.04703103
-2.9217877	-1.6004579	-0.13237977
-2.9217877	-1.5372016	-0.15016776
-2.9217877	-1.4737895	-0.047848895
-2.9217877	-1.4143283	0.040853072
-2.9217877	-1.3504637	0.019957807
-2.9217877	-1.286574	0.12776016
-2.9217877	-1.2294288	0.023859182
-2.9217877	-1.1617773	0.1954743
-2.9217877	-1.0991879	0.13738145
-2.9217877	-1.0390701	0.14398222
-2.9217877	-0.9705756	0.1789449
-2.9217877	-0.91467595	0.348868
-2.9217877	-0.84836125	0.2773388
-2.9217877	-0.78868604	0.27483615
-2.9217877	-0.72499704	0.2783432
-2.9217877	-0.6600969	0.23095436
-2.9217877	-0.5979724	0.28471735
-2.9217877	-0.53507614	0.46754956
-2.9217877	-0.4735973	0.35862875
-2.9217877	-0.40828252	0.42849806
-2.9217877	-0.34730387	0.45141795
-2.9217877	-0.27862787	0.4552193
-2.9217877	-0.22182775	0.41816983
-2.9217877	-0.15465188	0.41833442
-2.9217877	-0.09927273	0.451887
-2.9217877	-0.0318861	0.52536184
-2.9217877	0.02799201	0.46093076
-2.9217877	0.09671569	0.52070427
-2.9217877	0.15451312	0.57004833
-2.9217877	0.22351313	0.5105974
-2.9217877	0.2789104	0.41363525
-2.9217877	0.34950876	0.6021087
-2.9217877	0.40378928	0.5175283
-2.9217877	0.47168756	0.6241124
-2.9217877	0.53422713	0.5051264
-2.9217877	0.5965102	0.36671215
-2.9217877	0.6614096	0.39432433
-2.9217877	0.7270498	0.44569343
-2.9217877	0.7836554	0.34921977
-2.9217877	0.8474586	0.34089977
-2.9217877	0.90598845	0.27326262
-2.9217877	0.9720614	0.3863539
-2.9217877	1.0351379	0.2506624
-2.9217877	1.0968478	0.2597886
-2.9217877	1.1600502	0.28604242
-2.9217877	1.2241919	0.18910775
-2.9217877	1.2835739	0.20322733
-2.9217877	1.3472459	0.10666838
-2.9217877	1.4118669	0.023267416
-2.9217877	1.4748223	-0.021667074
-2.9217877	1.5360754	-0.0426135
-2.9217877	1.5980599	-0.13213141
-2.9217877	1.6663907	-0.28866425
-2.9217877	1.7288101	-0.2739465
-2.9217877	1.798456	-0.27113086
-2.9217877	1.8512938	-0.30378246
-2.9217877	1.9171097	-0.37378553
-2.9217877	1.9766657	-0.26716468
-2.9217877	2.0407388	-0.41777757
-2.9217877	2.1054275	-0.54525316
-2.9217877	2.1720955	-0.5919093
-2.9217877	2.2325804	-0.5693106
-2.9217877	2.2924125	-0.55320597
-2.9217877	2.3573797	-0.6431464
-2.9217877	2.412255	-0.6553289
-2.9217877	2.479071	-0.63016474
-2.9217877	2.5419009	-0.7583005
-2.9217877	2.6124566	-0.513326
-2.9217877	2.669185	-0.7640072
-2.9217877	2.7308786	-0.7806918
-2.9217877	2.7952273	-0.7075149
-2.9217877	2.857693	-0.65900195
-2.9217877	2.9268115	-0.8224727
-2.9217877	2.9810236	-0.91677386
-2.9217877	3.047355	-0.8998888
-2.9217877	3.1033409	-0.6458547
-2.8594494	-3.1141748	-0.7269753
