	N	D	A
306	2342	-1.2323305741150508	-0.43447113
307	2342	-1.2298022252589123	-0.25290084
308	2342	-1.2240893816497138	-0.18633223
309	2342	-1.2175672914343123	-0.22236872
310	2342	-1.1945846878181345	2.2997549
311	2342	-1.1908052874518655	-1.5191106
312	2342	-1.1445076329650699	-0.16557097
313	2342	-1.1403651652025042	-0.5322509
314	2342	-1.1335893652402924	-0.22088885
315	2342	-1.1266167215090044	0.08191538
316	2342	-1.1235590816293493	-0.05333996
317	2342	-1.1100381018467829	-1.5119998
318	2342	-1.095620389338423	2.5659282
319	2342	-1.0918541118900924	1.4466059
320	2342	-1.087676649679691	-0.72619295
321	2342	-1.0840416014107448	-0.7279053
322	2342	-1.07980727322261	0.117263794
323	2342	-1.0762990798270686	0.128335
324	2342	-1.0705031244042602	-0.28102136
325	2342	-1.0690071117592788	-0.23734426
326	2342	-1.0652277113930095	0.5949452
327	2342	-1.0647071689814518	-0.6958351
328	2342	-1.052502855298708	0.38499928
329	2342	-1.0459545192474295	0.28027177
330	2342	-1.0334133840042656	0.57629323
331	2342	-1.0290084578829317	-1.7561066
332	2342	-1.0288422342557113	-0.07809663
333	2342	-1.0257321027043025	-0.69977784
334	2342	-1.0205266785887233	-1.1283553
335	2342	-1.0137290070966145	-2.3070028
336	2342	-1.009800880327043	-1.5703359
337	2342	-1.0035193769405129	-2.168497
338	2342	-0.99901821608763	-1.5090178
339	2342	-0.9959736991259129	-0.22777605
340	2342	-0.9908382639060056	1.2001455
341	2342	-0.9844605257879269	-0.0062503815
342	2342	-0.9838087541969847	1.2284071
343	2342	-0.9821246463948858	0.21149945
344	2342	-0.9758431430083552	-0.1311059
345	2342	-0.9709657918412371	0.21248317
346	2342	-0.9658041107854531	-1.1981775
347	2342	-0.9460453706761509	-0.9131961
348	2342	-0.9360063384532484	-0.7031443
349	2342	-0.9294842482378471	-0.8098264
350	2342	-0.9222010287820162	-0.62154365
351	2342	-0.9187453270582284	1.4112337
352	2342	-0.9172668116371647	-0.6264539
353	2342	-0.9162213525080696	-0.49614024
354	2342	-0.9136273890622388	-0.25764704
355	2342	-0.905810504276912	0.44421697
356	2342	-0.9043932291395604	0.020924568
357	2342	-0.9008894100499987	-0.60813904
