gene	angle_pred
101	-2.4663130414647
102	-2.46053515624326
103	-2.45500848342408
104	-2.44798066333324
105	-2.44045654557482
106	-2.43005267590949
107	-2.42412773953554
108	-2.41388317530191
109	-2.40806240017109
110	-2.39928222042376
111	-2.39505449954166
112	-2.38204047178742
113	-2.36383676348541
114	-2.35406398841795
115	-2.32586080120692
116	-2.25946107510581
117	-2.25258030622998
118	-2.24547896061557
119	-2.2380896398143
120	-2.23063904769833
121	-2.22722623535643
122	-2.22146060445304
123	-2.21325637514628
124	-2.20145551955329
125	-2.19883923433165
126	-2.18577006249048
127	-2.17717369676804
128	-2.17194112632958
129	-2.16732126905803
130	-2.16137182421742
131	-2.15662942431447
132	-2.14898276400751
133	-2.14572312996703
134	-2.13707774720357
135	-2.1266800047906
136	-2.08263818251934
137	-2.07374771450903
138	-2.06741226039441
139	-2.05971045592612
140	-2.05331985762974
141	-2.0458263756406
142	-2.03597394797493
143	-2.03087004732599
144	-2.02041103363388
145	-2.00620221538996
146	-2.00261171625734
147	-1.9905841568792
148	-1.98165692610583
149	-1.9720802193833
150	-1.9537355873201
151	-1.9485642882367
152	-1.9429885984676
153	-1.92479714471105
154	-1.9159679480615
155	-1.90873793276383
156	-1.8976294431612
157	-1.87877625921624
158	-1.87377651982927
159	-1.87249594932463
160	-1.86660777585656
161	-1.85980665978127
162	-1.85200069412531
163	-1.84421923699747
164	-1.83862516585073
165	-1.83187919396519
166	-1.82516998487049
167	-1.81399409684703
168	-1.81256647518639
169	-1.79727315473943
170	-1.78778222791078
171	-1.78186954593031
172	-1.77826679255822
173	-1.76434594959995
174	-1.75766124904391
175	-1.74258237822476
176	-1.72042667044107
177	-1.70638941200387
178	-1.67539838051754
179	-1.65743975789365
180	-1.6448485025274
181	-1.64133765614128
182	-1.62416943350342
183	-1.62195141187833
184	-1.59529838959685
185	-1.58747404259914
186	-1.57995605218056
187	-1.57033032850874
188	-1.56598619223741
189	-1.5595710855018
190	-1.54656931234988
191	-1.5377156072603
192	-1.53337147099205
193	-1.52695636426097
194	-1.51641157086823
195	-1.50499059766686
196	-1.49934750951417
197	-1.48858213939192
198	-1.48068426683361
199	-1.47141391681138
200	-1.4705009742118
201	-1.46555637905863
202	-1.44943589597898
203	-1.44229778773742
204	-1.43965086691334
205	-1.4341609570564
206	-1.42662458526713
207	-1.42429627528366
208	-1.40933994720812
209	-1.40790619842929
210	-1.39983063906885
211	-1.38965347359431
212	-1.38393073274431
213	-1.37680487877453
214	-1.36705661251122
215	-1.36539615986691
216	-1.36118682050684
217	-1.35124248603732
218	-1.34972295741859
219	-1.34741302883294
220	-1.32885394744118
221	-1.32465686234678
222	-1.3163484720002
223	-1.28896632122728
224	-1.2864664515668
225	-1.28454253226934
226	-1.28041284562468
227	-1.27840927361764
228	-1.26704344464926
229	-1.26276057971775
230	-1.25767506055767
