	N	D	A
151	3070	-2.6200153328654747	-1.6316332
152	3070	-2.6178088787731166	-1.5846373
153	3070	-2.61505013433126	-1.1391544
154	3070	-2.611265321053816	-0.44283915
155	3070	-2.6098033760110266	-1.7668972
156	3070	-2.606955290483222	-2.0662456
157	3070	-2.6039312300891555	-1.3555895
158	3070	-2.597558232624847	-1.0412583
159	3070	-2.597008649580984	-2.6837273
160	3070	-2.594623513316729	-1.3382672
161	3070	-2.593267153193697	-3.0637758
162	3070	-2.5925172295328585	-1.9448171
163	3070	-2.5893686330795913	-1.8244166
164	3070	-2.5818396161092254	-1.7105166
165	3070	-2.57853941054041	-0.77517605
166	3070	-2.57238570483252	-0.8546996
167	3070	-2.5510331852908887	0.69684863
168	3070	-2.5393322103373035	-0.818784
169	3070	-2.534058378960722	-1.1336408
170	3070	-2.5263885820973466	-1.3546904
171	3070	-2.5216535045420896	-2.5298736
172	3070	-2.521236579474331	-1.4020084
173	3070	-2.518496786171918	-1.2143574
174	3070	-2.5162307713555947	-2.0872421
175	3070	-2.51179079011453	-1.4555912
176	3070	-2.505563987154501	-1.900294
177	3070	-2.5048140634936624	-1.5026194
178	3070	-2.5029081203267665	-1.3065809
179	3070	-2.4988498691802086	-1.725623
180	3070	-2.497850873400969	-0.83757544
181	3070	-2.49300750362032	-0.92505026
182	3070	-2.4750607745672615	-1.5331681
183	3070	-2.472285786291596	-1.3878568
184	3070	-2.467022784137554	-2.202715
185	3070	-2.466042739497758	-1.9739723
186	3070	-2.465815325824435	-1.6263115
187	3070	-2.4652711573918413	-1.516796
188	3070	-2.465051865635423	-1.4795463
189	3070	-2.4645374775648117	-1.2323062
190	3070	-2.460709347397211	-1.3610916
191	3070	-2.459667034727815	-1.0341039
192	3070	-2.457761091560919	-1.2668737
193	3070	-2.4565915355266874	-1.5032682
194	3070	-2.453567475132621	-1.3459553
195	3070	-2.4520405547545963	-1.0129716
196	3070	-2.4501860503947617	-0.37857103
197	3070	-2.4390725607639268	0.23082614
198	3070	-2.427062952967974	-0.46498156
199	3070	-2.425165131717983	-2.1034446
