	tu	genes
626	TU1TQS376	SAUSA300_RS03250
627	TU1TQS377	SAUSA300_RS03255
629	TU1TQS378	SAUSA300_RS03260
628	TU1TQS378	SAUSA300_RS03265
637	TU1TQS379	SAUSA300_RS03270
636	TU1TQS379	SAUSA300_RS03275
635	TU1TQS379	SAUSA300_RS03280
634	TU1TQS379	SAUSA300_RS03285
633	TU1TQS379	SAUSA300_RS03290
632	TU1TQS379	SAUSA300_RS03295
631	TU1TQS379	SAUSA300_RS03300
630	TU1TQS379	SAUSA300_RS03305
638	TU1TQS380	SAUSA300_RS03310
641	TU1TQS381	SAUSA300_RS03315
640	TU1TQS381	SAUSA300_RS03320
639	TU1TQS381	SAUSA300_RS03325
642	TU1TQS1887	SAUSA300_RS03330
643	TU1TQS1886	SAUSA300_RS03335
644	TU1TQS1885	SAUSA300_RS03340
645	TU1TQS1884	SAUSA300_RS03345
646	TU1TQS382	SAUSA300_RS03350
648	TU1TQS383	SAUSA300_RS03355
647	TU1TQS383	SAUSA300_RS03360
649	TU1TQS384	SAUSA300_RS03365
650	TU1TQS1883	SAUSA300_RS03370
651	TU1TQS385	SAUSA300_RS03375
652	TU1TQS386	SAUSA300_RS03380
653	TU1TQS387	SAUSA300_RS03385
654	TU1TQS388	SAUSA300_RS03390
657	TU1TQS389	SAUSA300_RS03395
656	TU1TQS389	SAUSA300_RS03400
655	TU1TQS389	SAUSA300_RS03405
658	TU1TQS390	SAUSA300_RS03410
660	TU1TQS391	SAUSA300_RS03415
659	TU1TQS391	SAUSA300_RS03420
661	TU1TQS392	SAUSA300_RS03425
662	TU1TQS393	SAUSA300_RS03430
663	TU1TQS394	SAUSA300_RS03435
664	TU1TQS1882	SAUSA300_RS03440
665	TU1TQS1881	SAUSA300_RS03445
666	TU1TQS1880	SAUSA300_RS03450
669	TU1TQS395	SAUSA300_RS03455
668	TU1TQS395	SAUSA300_RS03460
667	TU1TQS395	SAUSA300_RS03465
671	TU1TQS396	SAUSA300_RS03470
670	TU1TQS396	SAUSA300_RS03475
673	TU1TQS397	SAUSA300_RS03480
672	TU1TQS397	SAUSA300_RS03485
674	TU1TQS1879	SAUSA300_RS03490
675	TU1TQS398	SAUSA300_RS03495
676	TU1TQS399	SAUSA300_RS03500
677	TU1TQS400	SAUSA300_RS03505
679	TU1TQS401	SAUSA300_RS03510
678	TU1TQS401	SAUSA300_RS03515
680	TU1TQS402	SAUSA300_RS03520
681	TU1TQS403	SAUSA300_RS03525
682	TU1TQS404	SAUSA300_RS03530
683	TU1TQS405	SAUSA300_RS03535
685	TU1TQS406	SAUSA300_RS03540
684	TU1TQS406	SAUSA300_RS03545
686	TU1TQS1878	SAUSA300_RS03550
687	TU1TQS407	SAUSA300_RS03555
688	TU1TQS408	SAUSA300_RS03560
689	TU1TQS409	SAUSA300_RS03565
690	TU1TQS410	SAUSA300_RS03570
693	TU1TQS411	SAUSA300_RS03575
692	TU1TQS411	SAUSA300_RS03580
691	TU1TQS411	SAUSA300_RS03585
694	TU1TQS412	SAUSA300_RS03590
696	TU1TQS413	SAUSA300_RS03595
695	TU1TQS413	SAUSA300_RS03600
697	TU1TQS1877	SAUSA300_RS03605
698	TU1TQS414	SAUSA300_RS03610
700	TU1TQS415	SAUSA300_RS03615
699	TU1TQS415	SAUSA300_RS03620
701	TU1TQS416	SAUSA300_RS03625
702	TU1TQS417	SAUSA300_RS03630
704	TU1TQS418	SAUSA300_RS03635
703	TU1TQS418	SAUSA300_RS03640
705	TU1TQS419	SAUSA300_RS03645
706	TU1TQS420	SAUSA300_RS03650
707	TU1TQS421	SAUSA300_RS03655
708	TU1TQS422	SAUSA300_RS03660
711	TU1TQS423	SAUSA300_RS03665
710	TU1TQS423	SAUSA300_RS03670
709	TU1TQS423	SAUSA300_RS03675
712	TU1TQS424	SAUSA300_RS03685
713	TU1TQS425	SAUSA300_RS03690
714	TU1TQS426	SAUSA300_RS03695
715	TU1TQS427	SAUSA300_RS03700
717	TU1TQS428	SAUSA300_RS03705
716	TU1TQS428	SAUSA300_RS03710
718	TU1TQS429	SAUSA300_RS03715
719	TU1TQS430	SAUSA300_RS03720
720	TU1TQS431	SAUSA300_RS03725
723	TU1TQS432	SAUSA300_RS03730
722	TU1TQS432	SAUSA300_RS03735
721	TU1TQS432	SAUSA300_RS03740
726	TU1TQS433	SAUSA300_RS03745
725	TU1TQS433	SAUSA300_RS03750
724	TU1TQS433	SAUSA300_RS03755
727	TU1TQS434	SAUSA300_RS03760
729	TU1TQS435	SAUSA300_RS03765
728	TU1TQS435	SAUSA300_RS03770
730	TU1TQS436	SAUSA300_RS03775
732	TU1TQS437	SAUSA300_RS03785
731	TU1TQS437	SAUSA300_RS03790
734	TU1TQS438	SAUSA300_RS03795
733	TU1TQS438	SAUSA300_RS03800
2942	TU1TQS439	SAUSA300_RS03805
735	TU1TQS440	SAUSA300_RS03810
736	TU1TQS442	SAUSA300_RS03815
737	TU1TQS1876	SAUSA300_RS03820
738	TU1TQS443	SAUSA300_RS03825
740	TU1TQS444	SAUSA300_RS03830
739	TU1TQS444	SAUSA300_RS03835
743	TU1TQS446	SAUSA300_RS03840
742	TU1TQS446	SAUSA300_RS03845
744	TU1TQS447	SAUSA300_RS03850
745	TU1TQS448	SAUSA300_RS03855
749	TU1TQS450	SAUSA300_RS03860
748	TU1TQS450	SAUSA300_RS03865
747	TU1TQS450	SAUSA300_RS03870
746	TU1TQS450	SAUSA300_RS03875
750	TU1TQS451	SAUSA300_RS03880
752	TU1TQS453	SAUSA300_RS03885
751	TU1TQS453	SAUSA300_RS03890
753	TU1TQS454	SAUSA300_RS03895
754	TU1TQS455	SAUSA300_RS03900
755	TU1TQS456	SAUSA300_RS03905
756	TU1TQS457	SAUSA300_RS03910
759	TU1TQS458	SAUSA300_RS03915
758	TU1TQS458	SAUSA300_RS03920
757	TU1TQS458	SAUSA300_RS03925
760	TU1TQS459	SAUSA300_RS03930
761	TU1TQS1875	SAUSA300_RS03935
762	TU1TQS1874	SAUSA300_RS03940
763	TU1TQS460	SAUSA300_RS03945
765	TU1TQS461	SAUSA300_RS03950
764	TU1TQS461	SAUSA300_RS03955
766	TU1TQS462	SAUSA300_RS03960
767	TU1TQS463	SAUSA300_RS03965
768	TU1TQS464	SAUSA300_RS03970
769	TU1TQS465	SAUSA300_RS03975
770	TU1TQS466	SAUSA300_RS03980
771	TU1TQS467	SAUSA300_RS03985
773	TU1TQS468	SAUSA300_RS03990
772	TU1TQS468	SAUSA300_RS03995
775	TU1TQS469	SAUSA300_RS04000
774	TU1TQS469	SAUSA300_RS04005
779	TU1TQS471	SAUSA300_RS04010
778	TU1TQS471	SAUSA300_RS04015
777	TU1TQS471	SAUSA300_RS04020
776	TU1TQS471	SAUSA300_RS04025
780	TU1TQS472	SAUSA300_RS04030
782	TU1TQS474	SAUSA300_RS04040
781	TU1TQS474	SAUSA300_RS04045
783	TU1TQS475	SAUSA300_RS04050
784	TU1TQS1872	SAUSA300_RS04055
785	TU1TQS1871	SAUSA300_RS04060
786	TU1TQS1870	SAUSA300_RS04065
787	TU1TQS476	SAUSA300_RS04070
788	TU1TQS478	SAUSA300_RS04075
789	TU1TQS479	SAUSA300_RS04080
793	TU1TQS480	SAUSA300_RS04085
792	TU1TQS480	SAUSA300_RS04090
791	TU1TQS480	SAUSA300_RS04095
790	TU1TQS480	SAUSA300_RS04100
794	TU1TQS481	SAUSA300_RS04105
795	TU1TQS482	SAUSA300_RS04110
798	TU1TQS483	SAUSA300_RS04115
797	TU1TQS483	SAUSA300_RS04120
796	TU1TQS483	SAUSA300_RS04125
799	TU1TQS485	SAUSA300_RS04130
801	TU1TQS486	SAUSA300_RS04135
800	TU1TQS486	SAUSA300_RS04140
802	TU1TQS487	SAUSA300_RS04145
804	TU1TQS488	SAUSA300_RS04150
803	TU1TQS488	SAUSA300_RS04155
805	TU1TQS489	SAUSA300_RS04160
806	TU1TQS490	SAUSA300_RS04165
807	TU1TQS491	SAUSA300_RS04170
808	TU1TQS492	SAUSA300_RS04175
809	TU1TQS493	SAUSA300_RS04180
810	TU1TQS494	SAUSA300_RS04185
811	TU1TQS495	SAUSA300_RS04190
812	TU1TQS496	SAUSA300_RS04195
813	TU1TQS497	SAUSA300_RS04200
814	TU1TQS498	SAUSA300_RS04205
816	TU1TQS499	SAUSA300_RS04210
815	TU1TQS499	SAUSA300_RS04215
817	TU1TQS1869	SAUSA300_RS04220
818	TU1TQS1868	SAUSA300_RS04225
819	TU1TQS1867	SAUSA300_RS04230
820	TU1TQS500	SAUSA300_RS04235
821	TU1TQS501	SAUSA300_RS04240
822	TU1TQS502	SAUSA300_RS04245
823	TU1TQS503	SAUSA300_RS04250
824	TU1TQS504	SAUSA300_RS04255
825	TU1TQS1866	SAUSA300_RS04260
826	TU1TQS505	SAUSA300_RS04265
827	TU1TQS506	SAUSA300_RS04270
829	TU1TQS507	SAUSA300_RS04275
828	TU1TQS507	SAUSA300_RS04280
831	TU1TQS509	SAUSA300_RS04290
830	TU1TQS509	SAUSA300_RS04295
834	TU1TQS510	SAUSA300_RS04300
833	TU1TQS510	SAUSA300_RS04305
832	TU1TQS510	SAUSA300_RS04310
835	TU1TQS511	SAUSA300_RS04315
839	TU1TQS512	SAUSA300_RS04320
838	TU1TQS512	SAUSA300_RS04325
837	TU1TQS512	SAUSA300_RS04330
836	TU1TQS512	SAUSA300_RS04335
845	TU1TQS513	SAUSA300_RS04340
844	TU1TQS513	SAUSA300_RS04345
842	TU1TQS513	SAUSA300_RS04350
841	TU1TQS513	SAUSA300_RS04355
840	TU1TQS513	SAUSA300_RS04360
846	TU1TQS514	SAUSA300_RS04365
850	TU1TQS515	SAUSA300_RS04370
848	TU1TQS515	SAUSA300_RS04375
847	TU1TQS515	SAUSA300_RS04380
2955	TU1TQS516	SAUSA300_RS04385
851	TU1TQS517	SAUSA300_RS04390
852	TU1TQS1865	SAUSA300_RS04395
853	TU1TQS1864	SAUSA300_RS04400
854	TU1TQS1863	SAUSA300_RS04405
855	TU1TQS518	SAUSA300_RS04410
856	TU1TQS519	SAUSA300_RS04415
858	TU1TQS520	SAUSA300_RS04420
857	TU1TQS520	SAUSA300_RS04425
859	TU1TQS521	SAUSA300_RS04430
860	TU1TQS1861	SAUSA300_RS04435
861	TU1TQS1860	SAUSA300_RS04440
863	TU1TQS522	SAUSA300_RS04445
862	TU1TQS522	SAUSA300_RS04450
864	TU1TQS523	SAUSA300_RS04455
867	TU1TQS524	SAUSA300_RS04460
866	TU1TQS524	SAUSA300_RS04465
865	TU1TQS524	SAUSA300_RS04470
868	TU1TQS525	SAUSA300_RS04475
869	TU1TQS526	SAUSA300_RS04480
870	TU1TQS1859	SAUSA300_RS04485
873	TU1TQS527	SAUSA300_RS04490
872	TU1TQS527	SAUSA300_RS04495
871	TU1TQS527	SAUSA300_RS04500
874	TU1TQS528	SAUSA300_RS04505
879	TU1TQS529	SAUSA300_RS04510
878	TU1TQS529	SAUSA300_RS04515
877	TU1TQS529	SAUSA300_RS04520
876	TU1TQS529	SAUSA300_RS04525
875	TU1TQS529	SAUSA300_RS04530
880	TU1TQS1858	SAUSA300_RS04535
881	TU1TQS1857	SAUSA300_RS04540
882	TU1TQS1856	SAUSA300_RS04545
884	TU1TQS530	SAUSA300_RS04550
883	TU1TQS530	SAUSA300_RS04555
885	TU1TQS531	SAUSA300_RS04560
886	TU1TQS532	SAUSA300_RS04565
888	TU1TQS533	SAUSA300_RS04570
887	TU1TQS533	SAUSA300_RS04575
889	TU1TQS534	SAUSA300_RS04580
890	TU1TQS535	SAUSA300_RS04585
896	TU1TQS536	SAUSA300_RS04590
895	TU1TQS536	SAUSA300_RS04595
894	TU1TQS536	SAUSA300_RS04600
893	TU1TQS536	SAUSA300_RS04605
892	TU1TQS536	SAUSA300_RS04610
891	TU1TQS536	SAUSA300_RS04615
897	TU1TQS537	SAUSA300_RS04620
898	TU1TQS538	SAUSA300_RS04625
899	TU1TQS539	SAUSA300_RS04630
900	TU1TQS540	SAUSA300_RS04635
901	TU1TQS541	SAUSA300_RS04640
902	TU1TQS542	SAUSA300_RS04645
903	TU1TQS545	SAUSA300_RS04655
905	TU1TQS546	SAUSA300_RS04660
904	TU1TQS546	SAUSA300_RS04665
906	TU1TQS547	SAUSA300_RS04670
909	TU1TQS548	SAUSA300_RS04675
908	TU1TQS548	SAUSA300_RS04680
907	TU1TQS548	SAUSA300_RS04685
911	TU1TQS549	SAUSA300_RS04690
910	TU1TQS549	SAUSA300_RS04695
912	TU1TQS550	SAUSA300_RS04700
913	TU1TQS551	SAUSA300_RS04705
914	TU1TQS552	SAUSA300_RS04710
915	TU1TQS553	SAUSA300_RS04715
916	TU1TQS554	SAUSA300_RS04720
917	TU1TQS555	SAUSA300_RS04725
918	TU1TQS556	SAUSA300_RS04730
919	TU1TQS1855	SAUSA300_RS04735
923	TU1TQS557	SAUSA300_RS04740
922	TU1TQS557	SAUSA300_RS04745
921	TU1TQS557	SAUSA300_RS04750
920	TU1TQS557	SAUSA300_RS04755
924	TU1TQS558	SAUSA300_RS04760
925	TU1TQS1854	SAUSA300_RS04765
927	TU1TQS559	SAUSA300_RS04770
926	TU1TQS559	SAUSA300_RS04775
928	TU1TQS1853	SAUSA300_RS04780
933	TU1TQS560	SAUSA300_RS04785
932	TU1TQS560	SAUSA300_RS04790
931	TU1TQS560	SAUSA300_RS04795
930	TU1TQS560	SAUSA300_RS04800
929	TU1TQS560	SAUSA300_RS04805
934	TU1TQS561	SAUSA300_RS04810
938	TU1TQS562	SAUSA300_RS04815
937	TU1TQS562	SAUSA300_RS04820
936	TU1TQS562	SAUSA300_RS04825
935	TU1TQS562	SAUSA300_RS04830
939	TU1TQS1852	SAUSA300_RS04835
940	TU1TQS563	SAUSA300_RS04840
941	TU1TQS564	SAUSA300_RS04845
942	TU1TQS566	SAUSA300_RS04850
943	TU1TQS567	SAUSA300_RS04855
945	TU1TQS568	SAUSA300_RS04860
944	TU1TQS568	SAUSA300_RS04865
946	TU1TQS569	SAUSA300_RS04870
952	TU1TQS570	SAUSA300_RS04875
951	TU1TQS570	SAUSA300_RS04880
950	TU1TQS570	SAUSA300_RS04885
949	TU1TQS570	SAUSA300_RS04890
948	TU1TQS570	SAUSA300_RS04895
947	TU1TQS570	SAUSA300_RS04900
953	TU1TQS571	SAUSA300_RS04905
954	TU1TQS1851	SAUSA300_RS04910
955	TU1TQS572	SAUSA300_RS04915
956	TU1TQS573	SAUSA300_RS04920
957	TU1TQS574	SAUSA300_RS04925
959	TU1TQS575	SAUSA300_RS04930
958	TU1TQS575	SAUSA300_RS04935
962	TU1TQS576	SAUSA300_RS04940
961	TU1TQS576	SAUSA300_RS04945
960	TU1TQS576	SAUSA300_RS04950
963	TU1TQS577	SAUSA300_RS04955
965	TU1TQS578	SAUSA300_RS04960
964	TU1TQS578	SAUSA300_RS04965
966	TU1TQS579	SAUSA300_RS04970
968	TU1TQS580	SAUSA300_RS04975
967	TU1TQS580	SAUSA300_RS04980
969	TU1TQS581	SAUSA300_RS04985
970	TU1TQS1850	SAUSA300_RS04990
971	TU1TQS1849	SAUSA300_RS04995
973	TU1TQS582	SAUSA300_RS05000
972	TU1TQS582	SAUSA300_RS05005
974	TU1TQS583	SAUSA300_RS05010
2961	TU1TQS584	SAUSA300_RS05015
977	TU1TQS585	SAUSA300_RS05020
976	TU1TQS585	SAUSA300_RS05025
975	TU1TQS585	SAUSA300_RS05030
979	TU1TQS586	SAUSA300_RS05040
978	TU1TQS586	SAUSA300_RS05045
980	TU1TQS1847	SAUSA300_RS05050
981	TU1TQS1846	SAUSA300_RS05055
982	TU1TQS587	SAUSA300_RS05060
983	TU1TQS588	SAUSA300_RS05065
984	TU1TQS1845	SAUSA300_RS05070
985	TU1TQS1844	SAUSA300_RS05075
989	TU1TQS590	SAUSA300_RS05080
988	TU1TQS590	SAUSA300_RS05085
987	TU1TQS590	SAUSA300_RS05090
986	TU1TQS590	SAUSA300_RS05095
991	TU1TQS591	SAUSA300_RS05100
990	TU1TQS591	SAUSA300_RS05105
992	TU1TQS592	SAUSA300_RS05110
993	TU1TQS593	SAUSA300_RS05115
994	TU1TQS594	SAUSA300_RS05120
996	TU1TQS595	SAUSA300_RS05125
995	TU1TQS595	SAUSA300_RS05130
997	TU1TQS596	SAUSA300_RS05135
998	TU1TQS597	SAUSA300_RS05140
999	TU1TQS598	SAUSA300_RS05145
1000	TU1TQS599	SAUSA300_RS05150
1001	TU1TQS1843	SAUSA300_RS05155
1005	TU1TQS600	SAUSA300_RS05160
1004	TU1TQS600	SAUSA300_RS05165
1003	TU1TQS600	SAUSA300_RS05170
1002	TU1TQS600	SAUSA300_RS05175
1006	TU1TQS1842	SAUSA300_RS05180
1007	TU1TQS1841	SAUSA300_RS05185
1008	TU1TQS1839	SAUSA300_RS05190
1019	TU1TQS601	SAUSA300_RS05195
1018	TU1TQS601	SAUSA300_RS05200
1017	TU1TQS601	SAUSA300_RS05205
1016	TU1TQS601	SAUSA300_RS05210
1015	TU1TQS601	SAUSA300_RS05215
1014	TU1TQS601	SAUSA300_RS05220
1013	TU1TQS601	SAUSA300_RS05225
1012	TU1TQS601	SAUSA300_RS05230
1011	TU1TQS601	SAUSA300_RS05235
1010	TU1TQS601	SAUSA300_RS05240
1009	TU1TQS601	SAUSA300_RS05245
1022	TU1TQS602	SAUSA300_RS05250
1021	TU1TQS602	SAUSA300_RS05255
1020	TU1TQS602	SAUSA300_RS05260
1023	TU1TQS1838	SAUSA300_RS05265
1024	TU1TQS1837	SAUSA300_RS05270
1025	TU1TQS1836	SAUSA300_RS05275
1026	TU1TQS603	SAUSA300_RS05280
1027	TU1TQS604	SAUSA300_RS05285
1029	TU1TQS605	SAUSA300_RS05290
1028	TU1TQS605	SAUSA300_RS05295
1030	TU1TQS1834	SAUSA300_RS05300
1032	TU1TQS606	SAUSA300_RS05305
1031	TU1TQS606	SAUSA300_RS05310
1034	TU1TQS607	SAUSA300_RS05315
1033	TU1TQS607	SAUSA300_RS05320
1037	TU1TQS608	SAUSA300_RS05325
1036	TU1TQS608	SAUSA300_RS05330
1035	TU1TQS608	SAUSA300_RS05335
1038	TU1TQS609	SAUSA300_RS05340
1039	TU1TQS610	SAUSA300_RS05345
1041	TU1TQS611	SAUSA300_RS05350
1040	TU1TQS611	SAUSA300_RS05355
1043	TU1TQS612	SAUSA300_RS05360
1042	TU1TQS612	SAUSA300_RS05365
1044	TU1TQS613	SAUSA300_RS05370
1049	TU1TQS614	SAUSA300_RS05375
1048	TU1TQS614	SAUSA300_RS05380
1047	TU1TQS614	SAUSA300_RS05385
1046	TU1TQS614	SAUSA300_RS05390
1045	TU1TQS614	SAUSA300_RS05395
1050	TU1TQS615	SAUSA300_RS05400
1051	TU1TQS616	SAUSA300_RS05405
1052	TU1TQS617	SAUSA300_RS05410
1053	TU1TQS618	SAUSA300_RS05415
1054	TU1TQS1833	SAUSA300_RS05420
1055	TU1TQS1832	SAUSA300_RS05425
1056	TU1TQS1831	SAUSA300_RS05430
1058	TU1TQS619	SAUSA300_RS05435
1057	TU1TQS619	SAUSA300_RS05440
1059	TU1TQS620	SAUSA300_RS05445
1060	TU1TQS621	SAUSA300_RS05450
1061	TU1TQS622	SAUSA300_RS05455
1062	TU1TQS1830	SAUSA300_RS05460
1064	TU1TQS623	SAUSA300_RS05465
1063	TU1TQS623	SAUSA300_RS05470
1065	TU1TQS624	SAUSA300_RS05475
1067	TU1TQS625	SAUSA300_RS05480
1066	TU1TQS625	SAUSA300_RS05485
1068	TU1TQS1829	SAUSA300_RS05490
1069	TU1TQS1828	SAUSA300_RS05495
1070	TU1TQS1827	SAUSA300_RS05500
1072	TU1TQS626	SAUSA300_RS05505
1071	TU1TQS626	SAUSA300_RS05510
1073	TU1TQS1826	SAUSA300_RS05515
1074	TU1TQS1825	SAUSA300_RS05520
1075	TU1TQS1824	SAUSA300_RS05525
1076	TU1TQS1823	SAUSA300_RS05530
1077	TU1TQS627	SAUSA300_RS05535
1078	TU1TQS628	SAUSA300_RS05540
1082	TU1TQS629	SAUSA300_RS05545
1081	TU1TQS629	SAUSA300_RS05550
1080	TU1TQS629	SAUSA300_RS05555
1079	TU1TQS629	SAUSA300_RS05560
1085	TU1TQS630	SAUSA300_RS05565
1084	TU1TQS630	SAUSA300_RS05570
1083	TU1TQS630	SAUSA300_RS05575
1086	TU1TQS631	SAUSA300_RS05580
1088	TU1TQS632	SAUSA300_RS05585
1087	TU1TQS632	SAUSA300_RS05590
1089	TU1TQS1822	SAUSA300_RS05595
1091	TU1TQS634	SAUSA300_RS05600
1090	TU1TQS634	SAUSA300_RS05605
1093	TU1TQS635	SAUSA300_RS05610
1092	TU1TQS635	SAUSA300_RS05615
1094	TU1TQS636	SAUSA300_RS05620
1095	TU1TQS1821	SAUSA300_RS05625
1096	TU1TQS637	SAUSA300_RS05630
1097	TU1TQS638	SAUSA300_RS05635
1099	TU1TQS639	SAUSA300_RS05640
1098	TU1TQS639	SAUSA300_RS05645
1102	TU1TQS640	SAUSA300_RS05650
1101	TU1TQS640	SAUSA300_RS05655
1100	TU1TQS640	SAUSA300_RS05660
1103	TU1TQS641	SAUSA300_RS05665
1104	TU1TQS642	SAUSA300_RS05670
1106	TU1TQS643	SAUSA300_RS05675
1105	TU1TQS643	SAUSA300_RS05680
1107	TU1TQS644	SAUSA300_RS05685
1108	TU1TQS645	SAUSA300_RS05690
1109	TU1TQS646	SAUSA300_RS05695
1110	TU1TQS648	SAUSA300_RS05705
1111	TU1TQS649	SAUSA300_RS05710
1112	TU1TQS650	SAUSA300_RS05715
1113	TU1TQS651	SAUSA300_RS05720
1115	TU1TQS652	SAUSA300_RS05725
1114	TU1TQS652	SAUSA300_RS05730
1116	TU1TQS653	SAUSA300_RS05735
1117	TU1TQS654	SAUSA300_RS05740
1118	TU1TQS655	SAUSA300_RS05745
1119	TU1TQS656	SAUSA300_RS05750
1121	TU1TQS657	SAUSA300_RS05755
1120	TU1TQS657	SAUSA300_RS05760
1122	TU1TQS658	SAUSA300_RS05765
1123	TU1TQS659	SAUSA300_RS05770
1124	TU1TQS1820	SAUSA300_RS05775
1125	TU1TQS1819	SAUSA300_RS05780
1126	TU1TQS1818	SAUSA300_RS05785
1127	TU1TQS660	SAUSA300_RS05790
1128	TU1TQS661	SAUSA300_RS05795
1129	TU1TQS662	SAUSA300_RS05800
1130	TU1TQS1817	SAUSA300_RS05805
1131	TU1TQS663	SAUSA300_RS05810
1135	TU1TQS664	SAUSA300_RS05815
1134	TU1TQS664	SAUSA300_RS05820
1133	TU1TQS664	SAUSA300_RS05825
1132	TU1TQS664	SAUSA300_RS05830
1138	TU1TQS665	SAUSA300_RS05835
1137	TU1TQS665	SAUSA300_RS05840
1136	TU1TQS665	SAUSA300_RS05845
1140	TU1TQS666	SAUSA300_RS05850
1139	TU1TQS666	SAUSA300_RS05855
1144	TU1TQS667	SAUSA300_RS05860
1143	TU1TQS667	SAUSA300_RS05865
1142	TU1TQS667	SAUSA300_RS05870
1141	TU1TQS667	SAUSA300_RS05875
1146	TU1TQS668	SAUSA300_RS05880
1145	TU1TQS668	SAUSA300_RS05885
1147	TU1TQS669	SAUSA300_RS05890
1148	TU1TQS670	SAUSA300_RS05895
1149	TU1TQS1816	SAUSA300_RS05900
1151	TU1TQS671	SAUSA300_RS05905
1150	TU1TQS671	SAUSA300_RS05910
1152	TU1TQS672	SAUSA300_RS05915
1160	TU1TQS673	SAUSA300_RS05920
1159	TU1TQS673	SAUSA300_RS05925
1158	TU1TQS673	SAUSA300_RS05930
1157	TU1TQS673	SAUSA300_RS05935
1156	TU1TQS673	SAUSA300_RS05940
1155	TU1TQS673	SAUSA300_RS05945
1154	TU1TQS673	SAUSA300_RS05950
1153	TU1TQS673	SAUSA300_RS05955
1161	TU1TQS674	SAUSA300_RS05960
1162	TU1TQS1815	SAUSA300_RS05965
1164	TU1TQS675	SAUSA300_RS05970
1163	TU1TQS675	SAUSA300_RS05975
1166	TU1TQS676	SAUSA300_RS05980
1165	TU1TQS676	SAUSA300_RS05985
1167	TU1TQS677	SAUSA300_RS05990
1168	TU1TQS1814	SAUSA300_RS05995
1174	TU1TQS678	SAUSA300_RS06000
1173	TU1TQS678	SAUSA300_RS06005
1172	TU1TQS678	SAUSA300_RS06010
1171	TU1TQS678	SAUSA300_RS06015
1170	TU1TQS678	SAUSA300_RS06020
1169	TU1TQS678	SAUSA300_RS06025
1177	TU1TQS679	SAUSA300_RS06030
1176	TU1TQS679	SAUSA300_RS06035
1175	TU1TQS679	SAUSA300_RS06040
1178	TU1TQS1813	SAUSA300_RS06045
1180	TU1TQS680	SAUSA300_RS06050
1179	TU1TQS680	SAUSA300_RS06055
1181	TU1TQS681	SAUSA300_RS06060
1185	TU1TQS682	SAUSA300_RS06065
1184	TU1TQS682	SAUSA300_RS06070
1183	TU1TQS682	SAUSA300_RS06075
1182	TU1TQS682	SAUSA300_RS06080
1186	TU1TQS1812	SAUSA300_RS06085
1187	TU1TQS683	SAUSA300_RS06090
1188	TU1TQS684	SAUSA300_RS06095
1192	TU1TQS685	SAUSA300_RS06100
1191	TU1TQS685	SAUSA300_RS06105
1190	TU1TQS685	SAUSA300_RS06110
1189	TU1TQS685	SAUSA300_RS06115
1193	TU1TQS686	SAUSA300_RS06120
1195	TU1TQS687	SAUSA300_RS06125
1194	TU1TQS687	SAUSA300_RS06130
1196	TU1TQS688	SAUSA300_RS06135
1197	TU1TQS1811	SAUSA300_RS06145
1199	TU1TQS689	SAUSA300_RS06150
1198	TU1TQS689	SAUSA300_RS06155
1201	TU1TQS690	SAUSA300_RS06160
1200	TU1TQS690	SAUSA300_RS06165
1203	TU1TQS691	SAUSA300_RS06170
1202	TU1TQS691	SAUSA300_RS06175
1204	TU1TQS692	SAUSA300_RS06180
1205	TU1TQS693	SAUSA300_RS06185
1206	TU1TQS694	SAUSA300_RS06190
1208	TU1TQS695	SAUSA300_RS06195
1207	TU1TQS695	SAUSA300_RS06200
1210	TU1TQS696	SAUSA300_RS06205
1209	TU1TQS696	SAUSA300_RS06210
1211	TU1TQS697	SAUSA300_RS06215
1214	TU1TQS698	SAUSA300_RS06220
1213	TU1TQS698	SAUSA300_RS06225
1212	TU1TQS698	SAUSA300_RS06230
1216	TU1TQS699	SAUSA300_RS06235
1215	TU1TQS699	SAUSA300_RS06240
1218	TU1TQS700	SAUSA300_RS06245
1217	TU1TQS700	SAUSA300_RS06250
1220	TU1TQS701	SAUSA300_RS06255
1219	TU1TQS701	SAUSA300_RS06260
1221	TU1TQS702	SAUSA300_RS06265
1226	TU1TQS703	SAUSA300_RS06270
1225	TU1TQS703	SAUSA300_RS06275
1224	TU1TQS703	SAUSA300_RS06280
1223	TU1TQS703	SAUSA300_RS06285
1222	TU1TQS703	SAUSA300_RS06290
1227	TU1TQS704	SAUSA300_RS06295
1229	TU1TQS705	SAUSA300_RS06300
1228	TU1TQS705	SAUSA300_RS06305
1230	TU1TQS706	SAUSA300_RS06310
1231	TU1TQS707	SAUSA300_RS06315
1232	TU1TQS708	SAUSA300_RS06320
1237	TU1TQS709	SAUSA300_RS06325
1236	TU1TQS709	SAUSA300_RS06330
1235	TU1TQS709	SAUSA300_RS06335
1234	TU1TQS709	SAUSA300_RS06340
1233	TU1TQS709	SAUSA300_RS06345
1240	TU1TQS710	SAUSA300_RS06350
1239	TU1TQS710	SAUSA300_RS06355
1238	TU1TQS710	SAUSA300_RS06360
1241	TU1TQS711	SAUSA300_RS06365
1242	TU1TQS712	SAUSA300_RS06370
1243	TU1TQS713	SAUSA300_RS06375
1244	TU1TQS1808	SAUSA300_RS06380
1245	TU1TQS714	SAUSA300_RS06385
1247	TU1TQS715	SAUSA300_RS06390
