	tu	genes
203	TU1TQS119	SAUSA300_RS01070
202	TU1TQS119	SAUSA300_RS01075
206	TU1TQS120	SAUSA300_RS01080
207	TU1TQS121	SAUSA300_RS01085
208	TU1TQS122	SAUSA300_RS01090
212	TU1TQS123	SAUSA300_RS01095
211	TU1TQS123	SAUSA300_RS01100
210	TU1TQS123	SAUSA300_RS01105
209	TU1TQS123	SAUSA300_RS01110
214	TU1TQS124	SAUSA300_RS01115
213	TU1TQS124	SAUSA300_RS01120
215	TU1TQS125	SAUSA300_RS01125
216	TU1TQS1931	SAUSA300_RS01130
217	TU1TQS1930	SAUSA300_RS01135
220	TU1TQS126	SAUSA300_RS01140
219	TU1TQS126	SAUSA300_RS01145
218	TU1TQS126	SAUSA300_RS01150
222	TU1TQS127	SAUSA300_RS01155
221	TU1TQS127	SAUSA300_RS01160
224	TU1TQS128	SAUSA300_RS01165
223	TU1TQS128	SAUSA300_RS01170
225	TU1TQS1929	SAUSA300_RS01175
226	TU1TQS1928	SAUSA300_RS01180
227	TU1TQS129	SAUSA300_RS01185
229	TU1TQS130	SAUSA300_RS01195
228	TU1TQS130	SAUSA300_RS01200
230	TU1TQS131	SAUSA300_RS01205
232	TU1TQS132	SAUSA300_RS01210
231	TU1TQS132	SAUSA300_RS01215
233	TU1TQS1927	SAUSA300_RS01220
234	TU1TQS133	SAUSA300_RS01225
235	TU1TQS134	SAUSA300_RS01230
237	TU1TQS135	SAUSA300_RS01235
236	TU1TQS135	SAUSA300_RS01240
238	TU1TQS136	SAUSA300_RS01245
239	TU1TQS137	SAUSA300_RS01250
240	TU1TQS138	SAUSA300_RS01255
241	TU1TQS1926	SAUSA300_RS01260
242	TU1TQS139	SAUSA300_RS01265
243	TU1TQS140	SAUSA300_RS01270
246	TU1TQS141	SAUSA300_RS01275
245	TU1TQS141	SAUSA300_RS01280
244	TU1TQS141	SAUSA300_RS01285
250	TU1TQS142	SAUSA300_RS01290
249	TU1TQS142	SAUSA300_RS01295
248	TU1TQS142	SAUSA300_RS01300
247	TU1TQS142	SAUSA300_RS01305
252	TU1TQS143	SAUSA300_RS01310
251	TU1TQS143	SAUSA300_RS01315
253	TU1TQS144	SAUSA300_RS01320
254	TU1TQS145	SAUSA300_RS01325
258	TU1TQS146	SAUSA300_RS01330
257	TU1TQS146	SAUSA300_RS01335
256	TU1TQS146	SAUSA300_RS01340
255	TU1TQS146	SAUSA300_RS01345
259	TU1TQS147	SAUSA300_RS01350
261	TU1TQS148	SAUSA300_RS01355
260	TU1TQS148	SAUSA300_RS01360
263	TU1TQS149	SAUSA300_RS01365
262	TU1TQS149	SAUSA300_RS01370
2912	TU1TQS150	SAUSA300_RS01375
265	TU1TQS151	SAUSA300_RS01380
264	TU1TQS151	SAUSA300_RS01385
266	TU1TQS153	SAUSA300_RS01395
267	TU1TQS1925	SAUSA300_RS01400
270	TU1TQS154	SAUSA300_RS01405
269	TU1TQS154	SAUSA300_RS01410
268	TU1TQS154	SAUSA300_RS01415
271	TU1TQS155	SAUSA300_RS01420
272	TU1TQS157	SAUSA300_RS01430
273	TU1TQS158	SAUSA300_RS01435
274	TU1TQS1924	SAUSA300_RS01440
275	TU1TQS159	SAUSA300_RS01445
276	TU1TQS160	SAUSA300_RS01450
279	TU1TQS161	SAUSA300_RS01455
278	TU1TQS161	SAUSA300_RS01460
277	TU1TQS161	SAUSA300_RS01465
280	TU1TQS162	SAUSA300_RS01470
282	TU1TQS163	SAUSA300_RS01475
281	TU1TQS163	SAUSA300_RS01480
283	TU1TQS1923	SAUSA300_RS01485
284	TU1TQS164	SAUSA300_RS01490
295	TU1TQS165	SAUSA300_RS01495
294	TU1TQS165	SAUSA300_RS01500
293	TU1TQS165	SAUSA300_RS01505
292	TU1TQS165	SAUSA300_RS01510
291	TU1TQS165	SAUSA300_RS01515
290	TU1TQS165	SAUSA300_RS01520
289	TU1TQS165	SAUSA300_RS01525
288	TU1TQS165	SAUSA300_RS01530
287	TU1TQS165	SAUSA300_RS01535
286	TU1TQS165	SAUSA300_RS01540
285	TU1TQS165	SAUSA300_RS01545
296	TU1TQS166	SAUSA300_RS01550
297	TU1TQS167	SAUSA300_RS01555
298	TU1TQS168	SAUSA300_RS01560
302	TU1TQS169	SAUSA300_RS01565
301	TU1TQS169	SAUSA300_RS01570
300	TU1TQS169	SAUSA300_RS01575
299	TU1TQS169	SAUSA300_RS01580
303	TU1TQS170	SAUSA300_RS01585
308	TU1TQS171	SAUSA300_RS01590
307	TU1TQS171	SAUSA300_RS01595
306	TU1TQS171	SAUSA300_RS01600
305	TU1TQS171	SAUSA300_RS01605
304	TU1TQS171	SAUSA300_RS01610
309	TU1TQS172	SAUSA300_RS01615
310	TU1TQS173	SAUSA300_RS01620
311	TU1TQS174	SAUSA300_RS01625
312	TU1TQS175	SAUSA300_RS01630
313	TU1TQS177	SAUSA300_RS01635
314	TU1TQS1922	SAUSA300_RS01640
316	TU1TQS178	SAUSA300_RS01645
315	TU1TQS178	SAUSA300_RS01650
317	TU1TQS179	SAUSA300_RS01655
318	TU1TQS180	SAUSA300_RS01660
320	TU1TQS181	SAUSA300_RS01665
319	TU1TQS181	SAUSA300_RS01670
322	TU1TQS182	SAUSA300_RS01675
321	TU1TQS182	SAUSA300_RS01680
323	TU1TQS1920	SAUSA300_RS01685
324	TU1TQS1919	SAUSA300_RS01690
325	TU1TQS1918	SAUSA300_RS01695
326	TU1TQS1917	SAUSA300_RS01700
